env_id,alg_id,search_runtime,max_trial_length,rollouts_per_mc_eval,num_repeats,num_threads
deep-sea-treasure-improved-stoch,chmcts,20,50,1024,5,16

hp_opt_iter,czt_bias,czt_ball_split_visit_thresh,eval(mc_estimate_expected_utility),best_eval_so_far
MIN,0.01,1,MIN
153,0.01,99,-18.8617,-10.2891
154,100,99,-15.0067,-10.2891
155,100,99,-14.1356,-10.2891
156,100,99,-15.3997,-10.2891
157,0.0123098,99,-16.766,-10.2891
158,100,99,-16.8742,-10.2891
159,0.0125179,99,-16.1349,-10.2891
160,0.01,99,-17.5944,-10.2891
161,100,99,-15.4967,-10.2891
162,100,99,-16.1121,-10.2891
163,0.01,99,-16.4819,-10.2891
164,100,99,-14.0258,-10.2891
165,100,99,-15.4949,-10.2891
166,0.0111259,99,-14.7087,-10.2891
167,0.016905,99,-18.1239,-10.2891
168,100,99,-15.3472,-10.2891
169,100,99,-15.2906,-10.2891
170,0.01,3,-12.469,-10.2891
171,0.01,1,-15.522,-10.2891
172,0.01,3,-19.0814,-10.2891
173,0.01,3,-10.0993,-10.0993
174,0.0128869,1,-15.8945,-10.0993
175,0.01587,1,-13.8631,-10.0993
176,0.0436171,1,-14.175,-10.0993
177,0.0471618,1,-13.1372,-10.0993
178,0.0217458,1,-9.59993,-9.59993
179,100,99,-18.3991,-9.59993
180,0.01,1,-16.586,-9.59993
181,0.01,1,-14.6435,-9.59993
182,0.01,1,-14.647,-9.59993
183,0.01,1,-13.4282,-9.59993
184,0.014927,1,-13.6519,-9.59993
185,0.01,1,-16.4306,-9.59993
186,47.7614,99,-14.2413,-9.59993
187,100,1,-18.1024,-9.59993
188,0.0318982,1,-13.9068,-9.59993
189,0.0101966,1,-13.7546,-9.59993
190,0.01,1,-15.2661,-9.59993
191,47.7614,99,-16.2236,-9.59993
192,100,1,-17.209,-9.59993
193,100,1,-14.9039,-9.59993
194,100,1,-16.8343,-9.59993
195,100,1,-18.3945,-9.59993
196,0.01,1,-17.4882,-9.59993
197,0.01,1,-16.9431,-9.59993
198,7.3316,3,-16.0423,-9.59993
199,0.01,1,-10.6574,-9.59993

Best eval with params:
eval (mc_estimate_expected_utility) = -9.59993
czt_ball_split_visit_thresh = 1
czt_bias = 0.0217458
