env_id,alg_id,search_runtime,max_trial_length,rollouts_per_mc_eval,num_repeats,num_threads
resource-gathering-timed-v0,smdents,20,50,1024,5,16

hp_opt_iter,sm_l_inf_thresh,sm_split_visit_thresh,smbts_search_temp,smbts_epsilon,smbts_use_search_temp_decay,smbts_search_temp_decay_visits_scale,smdents_entropy_temp_init,smdents_entropy_temp_visits_scale,eval(mc_estimate_expected_utility),best_eval_so_far
60,0.322077,51,0.694735,0.269554,0,56.2953,24.3601,53.2276,-0.237538,-0.23058
61,0.412833,99,0.01948,0.074173,0,26.6072,0.0121083,29.1031,-0.23927,-0.23058
62,0.180493,63,38.1241,0.27967,0,88.9632,35.0094,68.4276,-0.239878,-0.23058
63,0.382254,62,30.8932,0.253658,0,37.9547,19.2886,99.9981,-0.239191,-0.23058
64,0.231058,69,48.2655,0.250451,0,72.3636,40.942,63.7061,-0.236116,-0.23058
65,0.336794,70,34.1482,0.209193,0,40.7601,29.2215,73.4498,-0.239739,-0.23058
66,0.450538,53,19.0013,0.435679,0,31.7989,36.4854,82.8313,-0.238847,-0.23058
67,0.118015,65,36.9045,0.27817,1,98.298,25.77,63.3994,-0.237387,-0.23058
68,0.16564,72,26.3698,0.480829,0,78.1036,41.4802,61.3077,-0.242761,-0.23058
69,0.294956,69,90.5395,0.116062,0,60.6746,38.939,52.7568,-0.236889,-0.23058
70,0.382599,69,0.01,0.000152561,0,31.2907,0.00884044,87.9774,-0.241204,-0.23058
71,0.368885,69,70.411,0.478097,0,37.095,86.5197,53.528,-0.235266,-0.23058
72,0.287348,99,0.0190393,0.141567,0,33.9087,42.8608,34.6908,-0.237779,-0.23058
73,0.252173,99,92.2745,0.427855,0,44.3933,0.0117626,74.1479,-0.235435,-0.23058
74,0.221137,99,55.4315,0.107543,1,59.9203,72.6198,14.3271,-0.238675,-0.23058
75,0.310322,99,87.5914,0.0510513,0,33.4348,50.7304,48.7994,-0.234835,-0.23058
76,0.392442,99,99.4229,0.499985,1,26.8024,0.001,33.1695,-0.242942,-0.23058
77,0.316105,99,17.7747,0.499987,1,39.1606,25.0551,92.386,-0.246298,-0.23058
78,0.0976179,99,52.7596,0.499986,0,81.9067,5.39796,17.1827,-0.233273,-0.23058
79,0.236345,99,77.981,0.151456,0,50.2716,37.1354,43.0384,-0.236883,-0.23058
80,0.257526,99,26.5383,0.499992,1,65.6173,78.859,0.0195286,-0.237758,-0.23058
81,0.298329,99,20.9066,0.499992,0,43.2932,99.9975,68.3396,-0.240207,-0.23058
82,0.483422,83,40.2436,0.0851302,0,81.5239,26.236,96.1096,-0.232873,-0.23058
83,0.41502,47,57.5579,0.125528,1,57.2125,41.8375,66.6912,-0.233027,-0.23058
84,0.289674,65,27.0796,0.217655,1,78.5871,36.2194,64.7234,-0.238769,-0.23058
85,0.400695,61,24.4104,0.255991,0,42.6936,0.0108167,0.0179247,-0.236825,-0.23058
86,0.349579,68,0.0188131,0.00015229,0,53.5127,99.9993,100,-0.241085,-0.23058
87,0.444209,64,76.2268,0.180205,1,33.6299,38.3278,99.9974,-0.241221,-0.23058
88,0.103722,71,40.4097,0.0891069,1,99.9982,42.3556,66.0001,-0.238718,-0.23058
89,0.145255,64,99.9992,0.425431,0,99.9629,54.1392,11.5617,-0.240013,-0.23058
90,0.402176,40,2.31909,0.49999,0,52.3502,22.6566,99.9982,-0.242625,-0.23058
91,0.128726,80,57.9415,0.259132,1,84.157,6.2811,99.9961,-0.235052,-0.23058
92,0.281802,73,43.5948,0.377992,0,59.0547,31.8419,74.2526,-0.237597,-0.23058
93,0.422794,68,0.0194422,0.10368,0,26.4986,89.0897,65.1079,-0.234166,-0.23058
94,0.128132,79,5.17104,0.0585961,0,86.8347,85.5083,61.1496,-0.233404,-0.23058
95,0.35005,73,39.7209,0.241524,1,50.3433,22.1461,25.4047,-0.233004,-0.23058
96,0.191241,81,83.8528,0.159873,0,75.175,52.7234,61.2904,-0.240493,-0.23058
97,0.368655,70,90.5125,0.198708,0,35.6628,20.1874,78.1375,-0.240215,-0.23058
98,0.0790269,69,0.0184714,0.467262,0,99.9996,0.794084,76.7764,-0.238832,-0.23058
99,0.234741,76,5.88921,0.174554,1,66.7903,6.45213,52.6354,-0.236004,-0.23058
100,0.365904,73,0.0203344,0.46933,0,34.6395,52.9382,60.4807,-0.235987,-0.23058
101,0.419252,57,56.508,0.0195136,0,44.7891,99.9225,12.0598,-0.236191,-0.23058
102,0.294059,65,51.6719,0.499988,0,76.2995,93.0145,8.29851,-0.239817,-0.23058
103,0.101269,78,84.1426,0.280993,1,95.0617,20.8613,39.3812,-0.243448,-0.23058
