env_id,alg_id,search_runtime,max_trial_length,rollouts_per_mc_eval,num_repeats,num_threads
fruit-tree-stoch-depth-7,smdents,20,50,1024,5,16

hp_opt_iter,sm_l_inf_thresh,sm_split_visit_thresh,smbts_search_temp,smbts_epsilon,smbts_use_search_temp_decay,smbts_search_temp_decay_visits_scale,smdents_entropy_temp_init,smdents_entropy_temp_visits_scale,eval(mc_estimate_expected_utility),best_eval_so_far
62,0.33618,1,0.0103538,0.237469,0,0.0196595,0.0121358,99.9862,3.79503,3.9102
63,0.348668,1,99.9997,0.499997,0,99.9996,99.9976,0.0182666,3.86511,3.9102
64,0.380203,1,99.9992,0.374831,0,99.9999,99.999,100,3.87824,3.9102
65,0.380952,1,99.9919,0.0001,1,99.9998,99.991,0.0253804,3.86459,3.9102
66,0.395929,1,99.9953,0.231873,1,99.9991,99.9997,0.0178652,3.84776,3.9102
67,0.320993,1,99.9974,0.499953,1,99.9982,99.9976,99.9969,3.82772,3.9102
68,0.350127,99,0.023295,0.499997,1,0.0273191,100,0.033665,3.77515,3.9102
69,0.41972,1,99.9989,0.00015496,0,99.9975,0.0127213,0.0188634,3.84555,3.9102
70,0.389226,1,99.9943,0.5,0,99.9977,0.0147874,0.0182792,3.86251,3.9102
71,0.312605,1,99.9958,0.214225,0,0.233878,99.9221,0.196458,3.87214,3.9102
72,0.5,1,100,0.209446,0,99.9925,99.9924,0.0100054,3.90184,3.9102
73,0.5,1,99.9435,0.0001,0,0.100828,99.9942,0.151219,3.89153,3.9102
74,0.499986,1,99.9995,0.149748,0,99.9983,100,0.0232459,3.84952,3.9102
75,0.389562,1,100,0.197629,0,99.9994,99.9956,0.0202341,3.86435,3.9102
76,0.150341,94,47.0067,0.0120283,1,79.9574,31.4094,64.4411,3.82441,3.9102
77,0.33264,1,100,0.000141819,0,0.0182667,0.00943678,99.9958,3.88025,3.9102
78,0.405463,1,99.8918,0.0001,0,0.0220991,99.9173,0.140583,3.85429,3.9102
79,0.257196,1,100,0.000165028,0,99.9991,0.0105056,99.9997,3.78714,3.9102
80,0.499957,1,100,0.136996,0,0.0268418,0.00354054,0.0230735,3.84848,3.9102
81,0.404073,1,99.9622,0.206086,0,0.162161,99.9106,0.0964761,3.8873,3.9102
82,0.419538,1,99.9991,0.293397,0,99.9995,99.9999,0.0208851,3.83339,3.9102
83,0.118298,99,81.9464,0.000152404,1,0.0209071,0.0116923,0.0211888,3.78484,3.9102
84,0.424447,1,91.9999,0.499993,0,0.0178847,99.9976,0.0194118,3.85324,3.9102
