env_id,alg_id,search_runtime,max_trial_length,rollouts_per_mc_eval,num_repeats,num_threads
fruit-tree-stoch-depth-7,smbts,20,50,1024,5,16

hp_opt_iter,sm_l_inf_thresh,sm_split_visit_thresh,smbts_search_temp,smbts_epsilon,smbts_use_search_temp_decay,smbts_search_temp_decay_visits_scale,eval(mc_estimate_expected_utility),best_eval_so_far
82,0.370722,68,0.0179557,0.318346,1,27.4513,3.84793,3.91601
83,0.0364021,99,99.9987,0.37921,1,0.0203124,3.82269,3.91601
84,0.169245,1,45.3742,0.144472,0,99.9805,3.87029,3.91601
85,0.499996,1,65.9726,0.499984,0,0.0200721,3.86996,3.91601
86,0.0001,1,42.2292,0.194287,0,99.9031,3.82166,3.91601
87,0.49999,1,73.4952,0.419572,0,0.0200798,3.87223,3.91601
88,0.000146499,1,71.2971,0.49999,1,0.0207988,3.83627,3.91601
89,0.499996,1,74.4812,0.384568,1,0.0208156,3.88837,3.91601
90,0.499993,1,83.6984,0.406335,1,0.0208114,3.89859,3.91601
91,0.000148676,1,80.7648,0.398374,0,0.0195312,3.84262,3.91601
92,0.499993,99,74.6526,0.412377,1,99.9979,3.81498,3.91601
93,0.499994,1,99.998,0.316042,0,0.0210827,3.85328,3.91601
94,0.499989,1,96.571,0.409087,1,0.0198489,3.83783,3.91601
95,0.499981,1,73.1325,0.332975,1,0.0201517,3.84329,3.91601
96,0.000152128,1,58.281,0.197529,0,0.0195228,3.81607,3.91601
97,0.166513,1,47.5062,0.498028,0,99.8357,3.84981,3.91601
98,0.162367,92,23.5657,0.0159076,1,99.9546,3.7684,3.91601
99,0.197937,1,47.814,0.5,0,99.8749,3.81511,3.91601
100,0.499993,1,99.9974,0.253432,0,0.0208667,3.84481,3.91601
101,0.145596,1,0.01,0.405324,0,99.8457,3.86689,3.91601
102,0.000147823,99,51.3853,0.118467,0,99.9973,3.80635,3.91601
103,0.499993,99,74.476,0.180877,1,0.0207997,3.80871,3.91601
104,0.49999,99,0.0150172,0.390687,0,99.9967,3.83852,3.91601
105,0.167342,1,0.01,0.340556,0,99.9006,3.79879,3.91601
106,0.499993,99,17.5424,0.204317,0,0.0200219,3.84852,3.91601
107,0.000158971,1,25.0809,0.259897,0,0.0215988,3.81273,3.91601
108,0.5,99,26.8004,0.173149,1,99.9976,3.84526,3.91601
109,0.499992,99,52.3468,0.208933,1,99.9975,3.86728,3.91601
110,0.499994,99,60.8553,0.292546,0,0.019997,3.81949,3.91601
111,0.000147243,1,66.6401,0.418894,1,0.020833,3.84887,3.91601
112,0.000150292,1,88.3014,0.325902,1,0.0201051,3.82246,3.91601
113,0.499993,1,75.7319,0.499988,1,99.9975,3.85698,3.91601
114,0.5,99,78.0563,0.499991,0,0.0215663,3.85631,3.91601
115,0.499995,99,86.178,0.411555,0,0.0198586,3.82611,3.91601
116,0.329266,1,49.4019,0.377624,0,99.9322,3.87687,3.91601
117,0.5,1,48.3584,0.284092,0,99.9819,3.87395,3.91601
118,0.27399,1,50.4629,0.357823,0,99.9088,3.85305,3.91601
119,0.49999,1,83.6062,0.239865,0,0.0215121,3.83056,3.91601
120,0.129471,31,35.099,0.274722,1,81.6607,3.82621,3.91601
121,0.499987,1,83.4934,0.240899,0,0.02576,3.89775,3.91601
122,0.000157932,1,83.9734,0.202567,0,0.0217126,3.81433,3.91601
123,0.499989,1,99.9986,0.279537,1,99.9987,3.8712,3.91601
124,0.496084,1,99.3386,0.348818,0,99.9661,3.85555,3.91601
125,0.499997,99,99.9989,0.266319,0,99.9973,3.81819,3.91601
126,0.499993,1,59.6744,0.43017,1,0.0206478,3.86819,3.91601
127,0.499993,1,88.3422,0.104756,1,0.0223486,3.80955,3.91601
128,0.499991,99,49.2182,0.153815,1,0.0202822,3.82332,3.91601
129,0.407332,1,62.3039,0.254957,0,99.9793,3.87227,3.91601
130,0.499992,1,14.4471,0.421144,0,99.9969,3.86126,3.91601
131,0.499981,1,62.9748,0.376457,1,99.9965,3.8616,3.91601
132,0.499989,1,63.379,0.3794,0,0.0215911,3.89269,3.91601
133,0.49999,1,64.5699,0.428462,0,0.0200029,3.85794,3.91601
134,0.499995,1,47.8855,0.339986,1,99.9965,3.83653,3.91601
135,0.499982,1,45.4717,0.415346,0,0.026574,3.89521,3.91601
136,0.499991,1,60.7274,0.426648,0,99.9971,3.92823,3.92823
137,0.499993,1,57.8584,0.433903,0,99.9974,3.84922,3.92823
138,0.499981,1,43.9897,0.431815,1,99.9957,3.8478,3.92823
139,0.499731,1,69.8051,0.367243,0,99.8499,3.87058,3.92823
140,0.499993,99,0.020155,0.420634,0,0.0202455,3.81953,3.92823
141,0.499856,1,78.2354,0.443645,0,99.943,3.88201,3.92823
142,0.069699,46,43.2548,0.488592,1,92.7958,3.79217,3.92823
143,0.5,99,99.9949,0.101994,1,0.0239057,3.80771,3.92823
144,0.499992,1,73.5447,0.432704,0,99.9971,3.83195,3.92823
145,0.499993,1,78.6291,0.275043,1,99.9989,3.8426,3.92823
146,0.499986,1,36.9872,0.160375,1,99.9942,3.82962,3.92823
147,0.499985,1,61.3676,0.0976761,1,99.9945,3.8406,3.92823
148,0.499988,1,53.0201,0.37986,0,0.0216576,3.87139,3.92823
149,0.499989,99,26.2726,0.389332,0,99.9957,3.82283,3.92823
150,0.499989,99,0.0228448,0.208283,0,99.9976,3.81194,3.92823
151,0.499956,99,27.4177,0.257134,0,99.983,3.83997,3.92823
152,0.499968,99,62.6228,0.218287,0,99.9966,3.87801,3.92823
153,0.49981,1,34.9428,0.416691,0,99.9496,3.84402,3.92823
154,0.499985,99,73.851,0.261457,0,99.9954,3.84005,3.92823
155,0.499981,1,47.7885,0.221059,0,99.9962,3.82329,3.92823
156,0.499992,99,58.9699,0.000161875,0,0.0229862,3.79977,3.92823
157,0.499968,99,62.2558,0.5,0,0.0324423,3.83577,3.92823
158,0.499988,99,99.997,0.307564,1,0.0276601,3.81757,3.92823
159,0.499954,1,0.0158762,0.428223,1,0.0270012,3.81207,3.92823
160,0.499988,99,58.6455,0.36465,1,0.027619,3.81905,3.92823
161,0.498929,1,66.1661,0.313794,0,99.9598,3.88025,3.92823
162,0.000201812,1,45.3745,0.116408,1,0.0324158,3.85288,3.92823
163,0.499985,99,53.2983,0.268235,1,99.9943,3.83067,3.92823
164,0.0919788,90,95.5078,0.0418788,0,5.01326,3.7882,3.92823
165,0.499953,99,53.3118,0.268241,1,99.9829,3.84052,3.92823
166,0.499935,1,65.9763,0.377006,0,99.9878,3.87771,3.92823
167,0.499913,1,100,0.410895,0,99.9949,3.847,3.92823
168,0.000201089,99,14.5811,0.204167,1,99.9946,3.77076,3.92823
169,0.499949,99,63.1576,0.168181,0,99.9919,3.80391,3.92823
170,0.000201188,1,54.0407,0.0632036,0,99.9948,3.81813,3.92823
171,0.499896,1,79.4121,0.220963,0,99.9969,3.84781,3.92823
172,0.499977,1,68.352,0.29831,0,0.0243749,3.80476,3.92823
173,0.000204075,1,54.9702,0.407502,0,0.0308548,3.82607,3.92823
174,0.499901,1,70.5548,0.5,0,99.8153,3.80783,3.92823
175,0.499956,99,18.4437,0.34083,0,0.073955,3.79065,3.92823
176,0.000202655,1,83.5209,0.447665,1,0.0321141,3.83462,3.92823
177,0.000208427,99,100,0.215956,1,0.0368994,3.81745,3.92823
178,0.499944,1,36.6254,0.335875,0,99.9694,3.86101,3.92823
179,0.499571,1,57.2781,0.379513,0,99.8999,3.85472,3.92823
180,0.499883,99,33.4539,0.128177,0,0.197883,3.82801,3.92823
181,0.49997,99,66.3713,0.426212,0,0.0750884,3.81871,3.92823
182,0.499955,99,51.1638,0.23116,0,0.0752702,3.83201,3.92823
183,0.000182501,1,99.9975,0.356721,1,99.9989,3.81357,3.92823
184,0.000992936,99,83.24,0.297505,0,0.201034,3.81769,3.92823
185,0.499367,1,85.3786,0.39252,0,99.9301,3.88114,3.92823
186,0.2357,79,7.63032,0.437216,1,87.5432,3.84224,3.92823
187,0.498534,1,85.0358,0.392148,0,99.9128,3.86155,3.92823
188,0.499512,1,0.01,0.5,0,99.8883,3.84598,3.92823
189,0.0001,1,100,0.233653,1,100,3.85241,3.92823
190,0.0001,1,71.9615,0.385616,1,100,3.78912,3.92823
191,0.0001,1,66.5847,0.185085,1,100,3.83901,3.92823
192,0.0001,1,39.3805,0.368945,1,0.01,3.80185,3.92823
193,0.5,99,50.6342,0.0669362,1,100,3.74219,3.92823
194,0.0001,1,51.4643,0.184762,1,0.01,3.79088,3.92823
195,0.5,99,76.3004,0.5,1,100,3.80787,3.92823
196,0.5,1,17.9329,0.5,1,100,3.87069,3.92823
197,0.5,1,0.01,0.5,1,100,3.89212,3.92823
198,0.5,1,21.3725,0.5,0,100,3.87266,3.92823
199,0.5,1,16.8457,0.5,0,100,3.89045,3.92823
200,0.5,1,0.01,0.5,1,100,3.86884,3.92823
201,0.5,1,29.4545,0.5,0,100,3.84245,3.92823
202,0.498975,1,12.5964,0.459554,0,99.8761,3.83033,3.92823
203,0.5,1,0.01,0.5,0,100,3.8413,3.92823
204,0.5,1,32.536,0.2153,0,100,3.85326,3.92823
205,0.5,99,18.248,0.5,0,100,3.8081,3.92823
206,0.5,68,51.0225,0.324576,0,100,3.75715,3.92823
207,0.5,1,0.01,0.257661,1,0.01,3.83884,3.92823
208,0.417581,17,79.0215,0.150442,0,92.583,3.8532,3.92823

Best eval with params:
eval (mc_estimate_expected_utility) = 3.92823
smbts_search_temp_decay_visits_scale = 99.9971
smbts_epsilon = 0.426648
smbts_search_temp = 60.7274
smbts_use_search_temp_decay = 0
sm_split_visit_thresh = 1
sm_l_inf_thresh = 0.499991
