env_id,alg_id,search_runtime,max_trial_length,rollouts_per_mc_eval,num_repeats,num_threads
fruit-tree-depth-7,czt,20,50,1024,5,16

hp_opt_iter,czt_bias,czt_ball_split_visit_thresh,eval(mc_estimate_expected_utility),best_eval_so_far
MIN,0.01,1,MIN
MAX,100,100,MAX
160,12.2337,56,4.84702,4.91548
161,10.7889,60,4.86231,4.91548
162,58.3779,98,4.81187,4.91548
163,8.96427,99,4.87377,4.91548
164,73.3273,88,4.81049,4.91548
165,8.96421,99,4.85795,4.91548
166,36.2825,99,4.8255,4.91548
167,11.7665,99,4.85676,4.91548
168,21.9932,99,4.84357,4.91548
169,34.3956,99,4.83091,4.91548
170,20.6138,99,4.83646,4.91548
171,44.5795,99,4.8353,4.91548
172,69.8024,99,4.84447,4.91548
173,19.2804,99,4.85156,4.91548
174,43.0178,99,4.83788,4.91548
175,68.8137,99,4.82432,4.91548
176,54.4068,99,4.83073,4.91548
177,60.099,99,4.82536,4.91548
178,43.7807,1,4.64242,4.91548
179,55.2281,1,4.63277,4.91548
180,2.88324,69,4.89689,4.91548
181,2.84761,70,4.87371,4.91548
182,2.42552,99,4.88112,4.91548
183,4.40245,70,4.88475,4.91548
184,3.58547,68,4.89123,4.91548
185,4.01056,99,4.88237,4.91548
186,49.5018,91,4.82358,4.91548
187,4.01058,99,4.8964,4.91548
188,5.77054,72,4.85997,4.91548
189,7.54067,99,4.86042,4.91548
190,2.26751,68,4.87083,4.91548
191,3.32795,72,4.86437,4.91548
192,9.50194,45,4.84824,4.91548
193,4.73501,74,4.88092,4.91548
194,4.05152,74,4.88919,4.91548
195,6.81092,99,4.85562,4.91548
196,4.31256,99,4.88512,4.91548
197,4.88068,74,4.88802,4.91548
198,2.42956,99,4.89605,4.91548
199,3.99344,73,4.87404,4.91548
200,59.3564,1,4.63942,4.91548
201,2.98441,99,4.88396,4.91548
202,4.67253,99,4.88306,4.91548
203,3.74227,99,4.86413,4.91548
204,8.14873,99,4.8662,4.91548
205,2.36861,99,4.88695,4.91548
206,5.15911,75,4.87795,4.91548
207,4.50471,70,4.87336,4.91548
208,29.6487,79,4.81959,4.91548

Best eval with params:
eval (mc_estimate_expected_utility) = 4.91548
czt_ball_split_visit_thresh = 99
czt_bias = 1.8556
