env_id,alg_id,search_runtime,max_trial_length,rollouts_per_mc_eval,num_repeats,num_threads
minecart-deterministic-v0,smdents,20,50,1024,5,16

hp_opt_iter,sm_l_inf_thresh,sm_split_visit_thresh,smbts_search_temp,smbts_epsilon,smbts_use_search_temp_decay,smbts_search_temp_decay_visits_scale,smdents_entropy_temp_init,smdents_entropy_temp_visits_scale,eval(mc_estimate_expected_utility),best_eval_so_far
62,0.5,99,0.01,0.0001,1,100,2.64686,0.01,-0.104758,-0.0241857
63,0.5,99,0.01,0.0001,1,100,49.3145,82.8754,-0.0852882,-0.0241857
64,0.5,69,0.01,0.0001,1,17.4023,100,0.01,-0.184806,-0.0241857
65,0.5,99,0.01,0.0001,1,100,0.001,72.2017,-0.0767953,-0.0241857
66,0.5,99,0.01,0.0001,1,100,44.1545,91.321,-0.0943665,-0.0241857
67,0.5,99,0.01,0.0001,1,100,98.7583,84.3389,-0.103499,-0.0241857
68,0.5,99,0.01,0.0001,0,100,84.6868,0.01,-0.0307013,-0.0241857
69,0.5,99,0.01,0.0001,0,100,87.3381,32.1832,-0.0543208,-0.0241857
70,0.5,99,0.01,0.0001,0,100,80.7527,0.01,-0.121264,-0.0241857
71,0.5,99,0.01,0.0001,0,100,63.6602,82.9919,-0.0524124,-0.0241857
72,0.5,99,0.01,0.0539689,1,100,45.6559,19.1517,-0.197286,-0.0241857
73,0.5,76,0.01,0.0001,0,100,98.4187,78.1835,-0.204085,-0.0241857
74,0.5,99,0.01,0.0001,1,14.1506,55.8654,79.8342,-0.180261,-0.0241857
75,0.198959,31,96.2041,0.239693,0,84.8477,92.0984,47.0836,-0.57691,-0.0241857
76,0.5,99,7.55912,0.0001,1,100,34.2549,1.41171,-0.467044,-0.0241857
77,0.5,74,0.01,0.0001,1,0.01,99.0636,100,-0.122974,-0.0241857
78,0.40897,86,0.01,0.0001,1,86.0905,58.7283,48.1543,-0.0211049,-0.0211049
79,0.406576,87,0.01,0.0001,1,87.1924,58.5918,48.1718,0.000685709,0.000685709
80,0.391085,94,0.01,0.0001,1,100,55.8511,49.8842,-0.223778,0.000685709
81,0.417518,48,0.01,0.0001,0,100,100,0.01,-0.113893,0.000685709
82,0.419612,99,0.01,0.0001,1,0.01,100,77.9024,-0.0632099,0.000685709
83,0.329068,88,0.049994,0.000111688,1,87.1955,58.4677,48.4141,-0.144158,0.000685709
84,0.409552,59,18.5643,0.0978283,1,42.4251,48.2875,74.403,-0.601404,0.000685709
85,0.329623,88,0.0228513,0.000214305,1,87.1961,58.5372,48.3128,-0.160641,0.000685709
86,0.0356366,76,70.5453,0.000575118,1,78.0628,83.9265,50.4177,-0.666801,0.000685709
87,0.126708,74,89.0932,0.0808524,1,80.9999,74.9099,50.4253,-0.609429,0.000685709
88,0.384083,87,0.021027,0.000128431,1,87.4118,52.9975,0.01,-0.212885,0.000685709
