env_id,alg_id,search_runtime,max_trial_length,rollouts_per_mc_eval,num_repeats,num_threads
minecart-v0,smdents,20,50,1024,5,16

hp_opt_iter,sm_l_inf_thresh,sm_split_visit_thresh,smbts_search_temp,smbts_epsilon,smbts_use_search_temp_decay,smbts_search_temp_decay_visits_scale,smdents_entropy_temp_init,smdents_entropy_temp_visits_scale,eval(mc_estimate_expected_utility),best_eval_so_far
66,0.265383,99,77.2612,0.0001,0,93.2838,5.38578,100,-1.04278,-0.569044
67,0.0421262,99,80.7882,0.5,0,100,0.001,100,-1.05642,-0.569044
68,0.5,99,100,0.0001,0,0.01,0.001,0.01,-1.02255,-0.569044
69,0.479368,97,83.4201,0.238207,1,77.5601,0.349595,0.11792,-1.01101,-0.569044
70,0.0001,99,0.01,0.0001,1,100,54.8081,62.1768,-0.732419,-0.569044
71,0.403197,99,14.8604,0.0001,1,61.4974,0.001,0.01,-1.00809,-0.569044
72,0.287339,1,83.6774,0.214852,0,99.6586,56.8298,100,-1.06205,-0.569044
73,0.386135,48,28.9167,0.311924,1,37.6157,64.3455,100,-1.05715,-0.569044
74,0.401194,50,60.4765,0.413731,0,44.2777,75.3709,96.8244,-1.02627,-0.569044
75,0.349936,48,60.4283,0.360082,1,87.6175,12.9313,18.5789,-1.02594,-0.569044
76,0.370381,50,90.2023,0.235739,1,5.27909,15.7054,67.8319,-1.00568,-0.569044
77,0.349942,48,60.579,0.360647,1,87.6605,12.9339,18.5725,-1.02384,-0.569044
78,0.400414,39,38.9031,0.294958,1,97.7903,2.1476,0.636892,-1.01445,-0.569044
79,0.0519212,91,9.85602,0.0001,0,88.3226,37.325,93.3046,-1.05247,-0.569044
80,0.274892,99,0.124349,0.0597206,1,95.0861,6.30699,81.6921,-0.922989,-0.569044
81,0.0106068,99,0.01,0.173664,0,89.799,26.5997,100,-1.01636,-0.569044
82,0.20024,99,46.0377,0.280855,1,88.9712,6.35093,99.957,-1.05315,-0.569044
83,0.237404,75,16.6822,0.479056,1,77.6543,47.4941,48.6687,-0.993674,-0.569044
84,0.387367,49,48.9568,0.415877,1,47.1268,47.8017,19.9569,-1.04799,-0.569044
85,0.255682,73,75.5092,0.312191,1,38.5474,15.9876,19.8252,-1.0229,-0.569044
86,0.22354,82,34.5887,0.0578817,1,76.6943,8.44628,9.48887,-1.04699,-0.569044
87,0.295528,78,31.5485,0.21249,1,67.3981,13.7073,10.1607,-1.0264,-0.569044
88,0.214632,77,51.4445,0.301615,1,79.9895,15.3715,14.569,-1.05127,-0.569044
89,0.385387,48,16.6569,0.0822117,0,43.2212,75.1137,76.2428,-1.03791,-0.569044
90,0.249731,50,16.6331,0.365804,0,44.0659,75.207,95.6501,-1.03505,-0.569044
91,0.376583,63,80.827,0.1101,0,44.0621,63.0932,79.7819,-1.05112,-0.569044
92,0.46287,32,54.5911,0.0813891,1,75.4769,75.1518,16.5593,-1.03054,-0.569044
93,0.245226,45,7.51211,0.116524,1,67.9023,47.6575,99.1641,-1.02456,-0.569044
94,0.249722,46,22.5556,0.244497,0,47.0718,49.5263,97.804,-1.00712,-0.569044
95,0.242003,51,10.5209,0.21322,1,47.9273,64.8673,97.8099,-1.03051,-0.569044
96,0.330069,26,0.025368,0.339834,1,60.5354,15.9851,13.1672,-1.00072,-0.569044
97,0.224129,42,17.8418,0.354075,1,72.6755,8.34621,23.459,-1.02311,-0.569044
98,0.347749,70,77.0848,0.222659,1,52.9869,9.28804,73.8281,-1.02249,-0.569044
99,0.210593,2,16.3759,0.346236,1,88.2078,1.81757,1.03715,-0.98123,-0.569044
100,0.382356,74,92.7519,0.353386,1,75.7118,94.3533,10.6753,-1.0758,-0.569044
101,0.436556,81,74.8359,0.375719,1,74.7432,95.6198,16.7725,-1.03006,-0.569044
102,0.304222,87,66.8246,0.407942,1,59.373,87.8285,1.42325,-1.05971,-0.569044
103,0.350847,99,100,0.317588,1,77.1016,100,0.305438,-1.02608,-0.569044
104,0.33184,99,64.5962,0.131233,1,74.859,86.7681,1.40131,-1.01966,-0.569044
105,0.38199,99,97.992,0.105347,1,73.7844,80.2872,0.330768,-1.05156,-0.569044
106,0.381642,98,88.9516,0.0769685,1,75.8396,99.9959,3.83023,-1.03376,-0.569044
107,0.410482,99,90.9329,0.220092,1,80.5272,96.0864,6.13812,-1.04368,-0.569044
108,0.253145,52,67.5973,0.2689,1,70.0649,100,15.6873,-1.02932,-0.569044
109,0.425299,75,78.9987,0.21874,0,75.6783,100,5.42271,-1.03035,-0.569044
110,0.428321,75,43.5687,0.22,0,49.6886,99.9419,5.48564,-1.03949,-0.569044
111,0.254011,65,10.3911,0.343707,0,50.988,6.85428,99.8179,-1.04989,-0.569044
112,0.24171,48,16.4417,0.249459,1,33.0477,13.3929,90.5595,-1.02853,-0.569044
113,0.37804,99,49.9713,0.000894804,0,69.1359,91.5405,100,-1.04414,-0.569044
114,0.368462,13,59.8524,0.160811,1,42.5165,69.8029,22.9328,-1.03839,-0.569044
115,0.41563,14,51.1456,0.159613,0,41.5448,91.2888,13.1516,-1.03836,-0.569044
