env_id,alg_id,search_runtime,max_trial_length,rollouts_per_mc_eval,num_repeats,num_threads
breakable-bottles-v0,smbts,20,50,1024,5,16

hp_opt_iter,sm_l_inf_thresh,sm_split_visit_thresh,smbts_search_temp,smbts_epsilon,smbts_use_search_temp_decay,smbts_search_temp_decay_visits_scale,eval(mc_estimate_expected_utility),best_eval_so_far
81,0.000189345,1,76.7684,0.0001,1,76.413,5.60665,8.86099
82,0.000182223,1,56.7284,0.248608,1,64.0918,5.21854,8.86099
83,0.499985,1,15.6008,0.499982,1,56.6796,5.3979,8.86099
84,0.5,1,100,0.490969,1,99.3292,4.80799,8.86099
85,0.5,1,100,0.0001,1,100,5.96104,8.86099
86,0.499992,1,54.0639,0.499986,1,99.997,4.5211,8.86099
87,0.499987,1,69.0583,0.499982,1,43.2821,3.0854,8.86099
88,0.499989,1,100,0.175911,1,99.9975,4.64947,8.86099
89,0.499995,1,73.5326,0.0001,1,99.9988,6.46086,8.86099
90,0.499978,1,100,0.000152781,1,67.0314,6.03236,8.86099
91,0.499529,2,99.9525,0.000657074,1,99.8532,6.4936,8.86099
92,0.499962,1,73.222,0.000137839,1,100,7.12932,8.86099
93,0.499982,1,99.9977,0.253103,1,100,4.15482,8.86099
94,0.499977,1,61.2117,0.00017855,1,60.4939,6.43531,8.86099
95,0.499979,1,71.3523,0.000225931,1,63.555,7.76129,8.86099
96,0.5,1,100,0.000162099,1,54.8417,5.36831,8.86099
97,0.499997,1,56.3089,0.00014924,1,45.7995,5.02218,8.86099
98,0.5,1,72.0814,0.000158941,1,100,5.45555,8.86099
99,0.499963,1,48.3143,0.000203062,1,42.4747,6.12348,8.86099
100,0.499999,30,68.1547,0.000100001,1,75.2164,7.26824,8.86099
101,0.499614,37,99.9469,0.000209195,1,99.7945,8.89197,8.89197
102,0.498842,59,99.9529,0.000750457,1,99.5074,5.57673,8.89197
103,0.499955,1,72.0781,0.0001,1,100,5.52255,8.89197
104,0.499962,37,73.7883,0.0001,1,80.4403,7.6005,8.89197
105,0.499983,26,62.9604,0.167546,1,73.6185,3.67766,8.89197
106,0.000147364,20,99.9982,0.00014401,1,99.9974,5.58362,8.89197
107,0.000175037,1,99.996,0.000168319,1,61.6688,5.00188,8.89197
108,0.498666,56,99.8479,0.000474606,1,99.8898,6.66468,8.89197
109,0.499577,28,99.9743,0.0001,1,99.923,7.93569,8.89197
110,0.499987,1,24.8131,0.24384,1,24.8951,4.1857,8.89197
111,0.5,1,99.9776,0.0001,1,100,6.01322,8.89197
112,0.499375,99,99.9721,0.000318305,1,99.9574,5.63557,8.89197
113,0.5,1,0.01,0.5,1,100,5.78921,8.89197
114,0.499988,61,16.5862,0.5,1,99.9935,2.26613,8.89197
115,0.49998,40,99.9977,0.000126027,1,99.9884,6.80161,8.89197
116,0.000205001,1,0.0321212,0.000205099,1,0.0312294,-2.09205,8.89197
117,0.499997,1,46.3848,0.289693,1,99.9989,4.82721,8.89197
118,0.000201891,1,0.0317056,0.499992,1,99.9972,3.76534,8.89197
119,0.000170001,41,72.0647,0.000179109,1,99.9989,7.0873,8.89197
120,0.000148292,1,0.01,0.392513,1,56.5838,3.90773,8.89197
121,0.000186131,1,68.5758,0.000202343,1,99.9936,5.28739,8.89197
122,0.5,99,99.8845,0.0001,1,100,6.06485,8.89197
123,0.000184236,1,58.6993,0.373786,1,99.9991,4.28778,8.89197
124,0.5,99,100,0.0001,1,100,6.01569,8.89197
125,0.499964,72,74.8048,0.000180423,1,99.9959,6.92176,8.89197
126,0.499931,68,76.1038,0.000205669,1,99.9942,7.92779,8.89197
127,0.499989,86,78.3221,0.000146126,1,99.9982,6.55377,8.89197
128,0.499992,62,73.1379,0.000145591,1,99.9987,8.13101,8.89197
129,0.499991,62,73.2142,0.000181455,1,99.9965,5.386,8.89197
130,0.499996,99,75.8178,0.000147978,1,76.7446,7.83799,8.89197
131,0.499993,99,79.5001,0.000138794,1,79.2567,5.31811,8.89197
132,0.5,99,100,0.0001,1,100,6.92587,8.89197
133,0.499997,99,68.6614,0.000150909,1,99.9999,6.88524,8.89197
134,0.499996,54,73.871,0.000143284,1,79.9696,7.1242,8.89197
135,0.499991,99,63.7705,0.115627,1,99.9984,3.4212,8.89197
136,0.499972,99,0.01,0.5,1,33.0827,-0.650135,8.89197
137,0.000128147,1,67.932,0.000137954,1,99.9975,3.50998,8.89197
138,0.499985,1,56.2403,0.151007,1,64.6431,5.33749,8.89197
139,0.499991,1,62.6072,0.000186066,1,99.9991,5.10658,8.89197
140,0.499981,70,99.9984,0.00013684,1,79.4504,6.44151,8.89197
141,0.5,99,100,0.0001,1,100,6.07753,8.89197
142,0.49999,61,82.7183,0.000143576,1,77.2935,8.20283,8.89197
143,0.499992,61,82.7899,0.000146536,1,77.3699,6.58161,8.89197
144,0.499987,99,99.996,0.000173516,1,75.538,6.76579,8.89197
145,0.499952,54,80.0335,0.000172769,1,75.3442,6.0351,8.89197
146,0.499925,70,73.2109,0.000323932,1,75.2656,7.05458,8.89197
147,0.499681,94,99.8635,0.0006627,1,99.7979,5.7577,8.89197
148,0.499988,99,69.5092,0.000199265,1,99.9957,6.29368,8.89197
149,0.5,63,69.0341,0.0001,1,72.8164,6.72471,8.89197
150,0.499961,99,71.1386,0.000184063,1,59.5805,8.34453,8.89197
151,0.000143927,99,80.4972,0.000130106,1,71.9897,6.14382,8.89197
152,0.000154773,99,77.6121,0.000157963,1,79.6668,6.53865,8.89197
153,0.499991,99,66.667,0.000149954,1,58.069,5.74773,8.89197
154,0.499986,99,72.4333,0.000204343,1,64.7328,4.83924,8.89197
155,0.5,99,99.9981,0.0986342,1,100,3.99978,8.89197
156,0.499987,52,78.5262,0.00018833,1,74.5399,7.21539,8.89197
157,0.5,99,100,0.000168958,1,61.539,4.47836,8.89197
158,0.499997,50,68.3518,0.000164095,1,78.7447,5.90333,8.89197
159,0.49987,59,71.4189,0.0001,1,100,7.13902,8.89197
160,0.499998,61,80.6503,0.000100017,1,99.9971,7.22479,8.89197
161,0.499956,44,88.8795,0.000178385,1,75.1228,7.31988,8.89197
162,0.499938,51,89.2803,0.000232484,1,80.636,5.66604,8.89197
163,0.499966,99,99.9465,0.000122559,0,99.9608,-3.14257,8.89197
164,0.499994,59,63.8107,0.000167745,1,99.9995,6.50626,8.89197
165,0.499975,56,60.3399,0.000196432,1,72.7222,7.66006,8.89197
166,0.49998,55,60.3777,0.000381288,1,72.9114,7.11691,8.89197
167,0.000398811,71,70.7246,0.000306313,1,85.2351,8.07694,8.89197
168,0.000180997,68,70.372,0.000174323,1,82.6093,6.06321,8.89197
169,0.499718,40,63.829,0.0727088,1,99.9587,5.11372,8.89197
170,0.00017788,99,79.2638,0.000159173,1,99.9999,6.31741,8.89197
171,0.000151833,99,72.7849,0.00017123,1,100,6.24877,8.89197
172,0.000407136,51,68.081,0.000240374,1,71.8506,4.58177,8.89197
173,0.49897,1,99.8722,0.000294755,1,99.8719,7.8582,8.89197
174,0.499623,1,99.7874,0.000470164,1,99.8222,5.60861,8.89197
175,0.499385,61,99.9518,0.000183332,1,99.9324,6.73173,8.89197
176,0.000937694,99,44.7066,0.304235,1,99.9718,3.52593,8.89197
177,0.000207112,1,30.8521,0.317434,1,89.5433,4.19718,8.89197
178,0.00040759,1,36.1938,0.499913,1,34.0314,3.22546,8.89197
179,0.499946,1,31.0699,0.321395,1,60.2188,4.79025,8.89197
180,0.499978,99,59.6466,0.000216668,1,77.6241,7.61821,8.89197
181,0.499972,99,54.3895,0.000292116,1,60.0801,4.93502,8.89197
182,0.5,99,78.4451,0.000176072,1,99.9967,6.5597,8.89197
183,0.499984,99,64.454,0.000166799,1,99.998,4.23754,8.89197
184,0.499776,72,49.8227,0.152637,1,57.2933,4.7015,8.89197
185,0.5,1,51.984,0.156994,1,100,5.02807,8.89197
186,0.499976,1,82.5814,0.000394307,1,69.6551,7.46335,8.89197
187,0.499933,1,82.4642,0.000228402,1,69.9569,5.54015,8.89197
188,0.499927,1,54.3662,0.000411079,1,68.6787,5.63012,8.89197
189,0.5,1,66.5588,0.0001,1,74.5132,5.8328,8.89197
190,0.5,1,100,0.0001,1,100,4.37401,8.89197
191,0.499032,1,99.8889,0.000889139,1,99.7624,6.71079,8.89197
192,0.499768,1,99.8525,0.000157685,1,99.6248,6.02147,8.89197
193,0.5,1,54.1915,0.172838,1,49.0573,5.19988,8.89197
194,0.5,66,100,0.0001,1,100,6.71098,8.89197
195,0.5,59,83.7958,0.0001,1,78.9206,5.43001,8.89197
196,0.0001,1,0.01,0.0001,0,100,0.394824,8.89197
197,0.5,1,99.9657,0.0001,1,100,5.83322,8.89197
198,0.422852,5,43.661,0.0001,1,66.7558,5.81714,8.89197
199,0.5,62,54.8535,0.0001,1,69.1055,6.60348,8.89197

Best eval with params:
eval (mc_estimate_expected_utility) = 8.89197
smbts_search_temp_decay_visits_scale = 99.7945
smbts_epsilon = 0.000209195
smbts_search_temp = 99.9469
smbts_use_search_temp_decay = 1
sm_split_visit_thresh = 37
sm_l_inf_thresh = 0.499614
