env_id,alg_id,search_runtime,max_trial_length,rollouts_per_mc_eval,num_repeats,num_threads
fruit-tree-stoch-depth-5,smbts,20,50,1024,5,16

hp_opt_iter,sm_l_inf_thresh,sm_split_visit_thresh,smbts_search_temp,smbts_epsilon,smbts_use_search_temp_decay,smbts_search_temp_decay_visits_scale,eval(mc_estimate_expected_utility),best_eval_so_far
MIN,0.0001,1,0.01,0.0001,0,0.01,MIN
MAX,0.5,100,100,0.5,1,100,MAX
0,0.475618,5,76.8643,0.271537,0,0.595775,3.87153,3.87153
1,0.177513,21,38.9384,0.345596,0,51.0503,3.85802,3.87153
2,0.223029,19,84.1066,0.415564,0,40.4925,3.81896,3.87153
3,0.104819,33,13.3757,0.00301726,1,82.0826,3.75888,3.87153
4,0.288303,63,58.243,0.460843,1,11.4368,3.82327,3.87153
5,0.357518,75,8.48932,0.113287,1,35.7956,3.83116,3.87153
6,0.0153688,55,61.4697,0.158945,0,79.2398,3.77492,3.87153
7,0.322302,41,25.8614,0.249458,1,23.7216,3.85868,3.87153
8,0.420216,96,40.1602,0.376579,1,97.4813,3.83497,3.87153
9,0.0729524,83,94.7987,0.0563255,0,63.0303,3.80306,3.87153
10,0.499999,1,99.9981,0.248602,0,0.0195138,3.88763,3.88763
11,0.499996,1,99.9976,0.228381,0,99.9985,3.87284,3.88763
12,0.5,99,99.998,0.230575,0,0.0201963,3.86557,3.88763
13,0.499996,1,0.0195458,0.258237,0,0.019835,3.84184,3.88763
14,0.499998,1,99.9981,0.227754,1,99.998,3.7052,3.88763
15,0.350168,99,99.9949,0.292979,0,0.0207928,3.77477,3.88763
16,0.0001,99,0.01,0.5,1,100,3.81806,3.88763
17,0.0001,1,0.01,0.5,0,0.01,3.7639,3.88763
18,0.5,1,0.01,0.5,0,0.01,3.82327,3.88763
19,0.5,1,0.01,0.0001,0,0.01,3.46888,3.88763
20,0.000143389,1,0.0218579,0.304026,1,0.0209266,3.78644,3.88763
21,0.49999,1,0.0225476,0.333531,0,99.9984,3.80865,3.88763
22,0.499993,99,0.0215075,0.256435,0,99.9975,3.84292,3.88763
23,0.261858,1,99.9982,0.259174,0,99.9977,3.85226,3.88763
24,0.324711,99,0.0198904,0.247114,0,0.0195323,3.6862,3.88763
25,0.499996,99,99.9992,0.402983,0,99.9981,3.78493,3.88763
26,0.5,1,0.01,0.5,1,0.01,3.82689,3.88763
27,0.000145588,1,99.999,0.39999,1,99.9981,3.80993,3.88763
28,0.5,1,0.0197424,0.390168,1,0.0196866,3.83916,3.88763
29,0.5,1,100,0.5,1,100,3.81157,3.88763
30,0.499993,1,99.9982,0.278982,0,99.9979,3.87518,3.88763
31,0.499993,1,99.9982,0.278068,0,99.9979,3.81322,3.88763
32,0.393252,8,97.9093,0.157003,1,98.4318,3.79902,3.88763
33,0.499993,1,99.9982,0.277689,0,99.998,3.84717,3.88763
34,0.00014344,1,99.9993,0.282853,0,99.9976,3.89019,3.89019
35,0.000143828,1,99.9993,0.284307,0,99.9976,3.83181,3.89019
36,0.499994,1,99.9984,0.292482,0,0.0199382,3.77468,3.89019
37,0.499982,1,0.0153866,0.499993,1,99.9991,3.84601,3.89019
38,0.000616309,1,99.9526,0.266857,0,99.9436,3.79203,3.89019
39,0.499993,1,0.0187516,0.407965,0,99.9985,3.86417,3.89019
40,0.000145034,1,0.0193382,0.437156,1,99.9975,3.74732,3.89019
41,0.499995,38,99.999,0.295886,0,99.9975,3.88791,3.89019
42,0.499995,38,99.999,0.295717,0,99.9975,3.86851,3.89019
43,0.499995,38,99.999,0.290191,0,99.9976,3.8379,3.89019
44,0.499986,31,99.9962,0.362919,0,99.9956,3.68918,3.89019
45,0.499995,37,0.0187137,0.240292,0,99.9975,3.80955,3.89019
46,0.499995,59,99.9989,0.304801,1,99.9974,3.81633,3.89019
47,0.275726,31,99.9988,0.253639,0,0.0192733,3.78534,3.89019
48,0.000145633,61,99.999,0.321303,1,99.9975,3.81965,3.89019
49,0.5,99,100,0.5,1,100,3.86214,3.89019
50,0.49998,64,0.01,0.499981,1,99.9976,3.82793,3.89019
51,0.000141251,1,99.9983,0.2036,1,99.9978,3.81996,3.89019
52,0.5,99,0.018089,0.430279,1,99.999,3.82679,3.89019
53,0.283013,1,0.0216559,0.35946,1,99.9981,3.85158,3.89019
54,0.105304,81,77.9517,0.0599679,1,81.9905,3.83589,3.89019
55,0.000145091,1,99.9989,0.105165,1,0.0201783,3.83618,3.89019
56,0.283497,1,0.0222148,0.359856,1,99.9988,3.81605,3.89019
57,0.134679,99,99.9987,0.120791,1,99.9982,3.84369,3.89019
58,0.141405,99,99.9997,0.260396,1,99.9979,3.81147,3.89019
59,0.164848,1,99.9987,0.329153,0,99.9982,3.85664,3.89019
60,0.341537,99,99.9987,0.436692,1,99.9973,3.80385,3.89019
61,0.0001,1,99.9998,0.348339,0,99.9995,3.91112,3.91112
62,0.000139715,1,0.0184785,0.0739427,1,99.9977,3.82721,3.91112
63,0.000138661,1,99.9997,0.354089,0,99.9944,3.85544,3.91112
64,0.000145471,1,99.9976,0.347456,0,99.9978,3.83235,3.91112
65,0.000144944,99,99.9976,0.338627,0,99.9985,3.80173,3.91112
66,0.0001,1,100,0.0001,1,100,3.84251,3.91112
67,0.000141973,99,0.0200414,0.147609,1,0.0212794,3.85788,3.91112
68,0.000132627,99,0.0198169,0.0606848,1,0.0202736,3.71591,3.91112
69,0.000139349,1,99.9997,0.145927,1,99.9988,3.81603,3.91112
70,0.0001467,99,0.0192787,0.392116,0,99.9979,3.85482,3.91112
71,0.108593,99,99.9975,0.412476,0,99.9986,3.8059,3.91112
72,0.000147348,1,99.9989,0.239381,1,99.9984,3.82761,3.91112
73,0.5,99,0.0198167,0.5,0,0.0200492,3.81228,3.91112
74,0.499991,1,0.0224594,0.43266,1,0.0214775,3.84927,3.91112
75,0.499989,99,0.0172498,0.350298,1,0.0207352,3.80794,3.91112
76,0.270142,2,98.9938,0.159865,0,66.2845,3.83586,3.91112
77,0.499988,99,0.0182431,0.350937,1,0.0199196,3.83566,3.91112
78,0.499998,99,0.0258709,0.423607,1,0.0264258,3.79761,3.91112
79,0.161905,1,0.0187115,0.161784,1,99.9975,3.66914,3.91112
80,0.25287,1,0.021534,0.355375,1,0.0248915,3.91272,3.91272
81,0.14494,1,0.0197847,0.357028,0,0.019574,3.81762,3.91272
82,0.345026,1,0.0190426,0.345224,1,0.0195871,3.83256,3.91272
83,0.0001,1,0.0189562,0.331036,0,99.9982,3.76923,3.91272
84,0.29645,1,0.0218895,0.407017,0,0.0212106,3.75942,3.91272
85,0.283366,1,99.9942,0.35133,1,99.9947,3.82233,3.91272
86,0.262183,1,0.0138216,0.401184,1,0.0987778,3.79609,3.91272
87,0.236015,1,99.9986,0.306639,0,99.9968,3.81066,3.91272
88,0.499998,99,99.9986,0.190817,0,99.9976,3.86616,3.91272
89,0.499989,99,99.9991,0.218302,0,99.9987,3.8323,3.91272
90,0.499999,99,99.9983,0.078319,1,99.9971,3.81468,3.91272
91,0.499999,99,99.9988,0.149628,0,99.9974,3.84587,3.91272
92,0.246693,99,99.9994,0.0952267,1,0.0220701,3.82783,3.91272
93,0.499993,99,52.0336,0.289412,0,99.9981,3.8556,3.91272
94,0.5,1,43.0348,0.333222,0,99.9975,3.7997,3.91272
