env_id,alg_id,search_runtime,max_trial_length,rollouts_per_mc_eval,num_repeats,num_threads
fruit-tree-depth-7,chmcts,20,50,1024,5,16

hp_opt_iter,czt_bias,czt_ball_split_visit_thresh,eval(mc_estimate_expected_utility),best_eval_so_far
MIN,0.01,1,MIN
MAX,100,100,MAX
161,83.1319,99,5.12588,5.13934
162,86.6552,99,5.11107,5.13934
163,50.2212,99,5.14021,5.14021
164,51.065,93,5.10891,5.14021
165,91.5799,1,5.11175,5.14021
166,67.3471,1,5.1261,5.14021
167,81.4935,1,5.11917,5.14021
168,41.2844,99,5.11912,5.14021
169,25.871,1,5.10312,5.14021
170,78.6682,99,5.11814,5.14021
171,39.2272,1,5.12595,5.14021
172,68.4264,99,5.12616,5.14021
173,68.211,99,5.11132,5.14021
174,84.5624,1,5.11825,5.14021
175,63.1874,1,5.11143,5.14021
176,35.257,99,5.12596,5.14021
177,11.1814,99,5.13044,5.14021
178,13.785,99,5.10922,5.14021
179,19.832,99,5.14277,5.14277
180,21.0247,99,5.10723,5.14277
181,73.7387,1,5.12616,5.14277
182,76.5888,1,5.12546,5.14277
183,29.7603,99,5.13453,5.14277
184,71.3932,1,5.11335,5.14277
185,29.4331,99,5.13675,5.14277
186,4.85188,64,5.12437,5.14277
187,48.9306,1,5.12206,5.14277
188,28.5481,99,5.11182,5.14277
189,38.8499,99,5.10961,5.14277
190,34.1546,99,5.11282,5.14277
191,18.303,99,5.12422,5.14277
192,45.1583,99,5.12335,5.14277
193,48.9277,99,5.13249,5.14277
194,42.422,1,5.12289,5.14277
195,48.1282,1,5.12426,5.14277
196,49.2355,99,5.1365,5.14277
197,51.6613,1,5.12219,5.14277
198,49.3129,99,5.13761,5.14277
199,47.4704,99,5.11977,5.14277
200,49.8166,99,5.108,5.14277
201,89.4711,99,5.11444,5.14277
202,98.4023,1,5.10747,5.14277
203,93.2358,99,5.10877,5.14277
204,81.979,99,5.11464,5.14277
205,21.7635,1,5.13004,5.14277
206,18.5164,99,5.12136,5.14277
207,36.9115,1,5.11681,5.14277
208,37.603,36,5.11169,5.14277

Best eval with params:
eval (mc_estimate_expected_utility) = 5.14277
czt_ball_split_visit_thresh = 99
czt_bias = 19.832
