env_id,alg_id,search_runtime,max_trial_length,rollouts_per_mc_eval,num_repeats,num_threads
deep-sea-treasure-vamplew-stoch,smbts,20,50,1024,5,16

hp_opt_iter,sm_l_inf_thresh,sm_split_visit_thresh,smbts_search_temp,smbts_epsilon,smbts_use_search_temp_decay,smbts_search_temp_decay_visits_scale,eval(mc_estimate_expected_utility),best_eval_so_far
77,0.000201004,1,48.8257,0.499974,1,62.8269,-1.54707,-0.667055
78,0.000184143,1,46.2208,0.000204177,0,67.1726,-4.04251,-0.667055
79,0.499979,1,73.3592,0.383845,0,0.01,-4.30002,-0.667055
80,0.000145559,99,45.3941,0.000150257,1,99.9975,-2.72164,-0.667055
81,0.000147082,99,59.6364,0.000142315,1,55.4011,-1.91523,-0.667055
82,0.499517,99,0.164726,0.000580493,1,27.6572,-4.27598,-0.667055
83,0.000154936,99,63.465,0.499987,1,48.4441,-1.95809,-0.667055
84,0.000147709,99,53.1366,0.499987,1,65.261,-2.27542,-0.667055
85,0.499991,52,0.0848784,0.000766732,1,68.3248,-2.48051,-0.667055
86,0.000143138,99,53.6807,0.000135569,1,42.6562,-2.11558,-0.667055
87,0.00014733,1,65.6243,0.499989,1,51.3126,-2.16177,-0.667055
88,0.000155282,1,52.3842,0.499986,1,44.2752,-2.24041,-0.667055
89,0.499987,99,7.34189,0.499956,1,62.7074,-1.33469,-0.667055
90,0.5,99,0.01,0.0001,0,0.01,-1.38339,-0.667055
91,0.499982,99,0.0173485,0.499995,0,38.6891,-1.66467,-0.667055
92,0.499993,99,0.0176188,0.499987,0,55.3558,-2.26288,-0.667055
93,0.499973,99,0.0230757,0.0001,0,17.944,-1.87697,-0.667055
94,0.5,99,6.4591,0.499985,0,0.0196654,-3.22158,-0.667055
95,0.5,99,55.9069,0.000168616,0,26.565,-2.71899,-0.667055
96,0.000156692,99,73.7493,0.00016239,1,67.029,-1.73216,-0.667055
97,0.000155208,99,100,0.000179729,1,73.219,-1.05736,-0.667055
98,0.000154721,99,91.8606,0.000160154,1,71.5784,-1.27745,-0.667055
99,0.000142863,99,100,0.000146388,1,74.2936,-1.70056,-0.667055
100,0.000146677,99,85.97,0.00014167,1,68.829,-1.45589,-0.667055
101,0.0001533,99,86.1031,0.000154917,1,68.9663,-0.812276,-0.667055
102,0.000142082,99,86.2024,0.000143991,1,68.9698,-2.92046,-0.667055
103,0.000144591,1,99.9996,0.000127624,1,68.4489,-1.9171,-0.667055
104,0.000147428,1,84.393,0.000151915,1,68.8526,-2.07494,-0.667055
105,0.499997,99,99.9985,0.499985,1,65.812,-3.33416,-0.667055
106,0.499992,99,72.1707,0.000159841,1,67.1262,-3.25365,-0.667055
107,0.000198498,1,89.429,0.499974,1,69.3144,-2.33062,-0.667055
108,0.0001,99,100,0.0001,1,100,-1.51918,-0.667055
109,0.499988,99,0.01579,0.499989,1,66.3817,-2.07478,-0.667055
110,0.5,99,0.01,0.5,1,100,-1.60826,-0.667055
111,0.5,99,17.4226,0.499992,1,100,-1.5643,-0.667055
112,0.499998,99,11.281,0.499987,1,80.3525,-2.35888,-0.667055
113,0.499992,99,26.7549,0.000161142,1,99.9974,-2.94342,-0.667055
114,0.5,99,0.01,0.5,0,100,-1.72004,-0.667055
115,0.5,99,0.01,0.5,1,100,-2.01279,-0.667055
116,0.499992,99,0.0173436,0.499974,0,76.5538,-1.4958,-0.667055
117,0.499976,99,0.0136234,0.499994,0,31.9786,-1.31955,-0.667055
118,0.499997,99,0.014059,0.499996,0,66.5132,-2.09891,-0.667055
119,0.499964,99,0.0160018,0.499995,1,43.3524,-1.9693,-0.667055
120,0.5,99,0.01,0.5,0,100,-2.07033,-0.667055
121,0.5,99,0.01,0.5,1,100,-2.41196,-0.667055
122,0.499993,1,0.016233,0.499987,1,67.4225,-1.92434,-0.667055
123,0.5,1,0.01,0.5,1,100,-2.4674,-0.667055
124,0.499996,99,17.2899,0.49993,0,99.9855,-3.88978,-0.667055
125,0.499999,99,50.8297,0.499988,1,99.9975,-2.85244,-0.667055
126,0.5,1,0.01,0.0001,1,0.01,-2.81038,-0.667055
127,0.5,99,0.01,0.0001,1,100,-4.67246,-0.667055
128,0.49999,99,36.2597,0.000170658,1,0.0272831,-3.62869,-0.667055
129,0.0001,99,0.0159579,0.5,1,46.9525,-1.41753,-0.667055
130,0.5,1,100,0.0001,1,100,-2.27625,-0.667055
131,0.499981,1,100,0.000187916,1,68.7,-1.21087,-0.667055
132,0.499984,1,92.5799,0.000169577,1,70.5869,-2.71368,-0.667055
133,0.499987,1,77.5995,0.000156534,1,99.997,-2.55524,-0.667055
134,0.499985,1,48.1826,0.000211632,1,66.722,-2.88987,-0.667055
135,0.000142817,99,0.0169703,0.499987,1,34.9476,-1.44734,-0.667055
136,0.000141378,99,0.0132919,0.499999,1,34.3738,-1.87327,-0.667055
137,0.000152603,99,0.0122085,0.5,1,51.5311,-1.67321,-0.667055
138,0.000150599,99,0.0147873,0.499994,0,57.9334,-1.57446,-0.667055
139,0.000146998,99,0.0152788,0.499993,1,28.2766,-1.57396,-0.667055
140,0.000147415,99,8.77421,0.499988,1,54.1572,-3.37574,-0.667055
141,0.0001,1,100,0.5,0,100,-4.19399,-0.667055
142,0.000126908,1,0.0108943,0.499996,0,41.6038,-1.88046,-0.667055
143,0.000151103,1,0.0119729,0.499999,1,64.2612,-1.7995,-0.667055
144,0.000129604,1,0.0145674,0.5,0,99.998,-2.06508,-0.667055
145,0.000145663,1,0.01,0.499991,1,43.8549,-1.222,-0.667055
146,0.000149069,1,0.01,0.5,1,71.6866,-1.83111,-0.667055
147,0.000123674,1,0.01,0.5,0,0.01,-1.8277,-0.667055
148,0.000125834,1,0.01,0.499992,0,41.2874,-1.6741,-0.667055
149,0.000141994,1,0.0100008,0.499935,0,21.8169,-1.58274,-0.667055
150,0.000161722,99,64.1201,0.499988,0,99.9945,-3.49649,-0.667055
151,0.000131467,1,0.0128975,0.499986,0,53.1652,-2.0682,-0.667055
152,0.000152182,1,0.0121948,0.499998,1,63.6827,-1.20353,-0.667055
153,0.000141431,1,0.0116479,0.499991,1,63.2862,-1.63237,-0.667055
154,0.000175247,1,7.46161,0.499984,1,99.997,-1.58939,-0.667055
155,0.000154543,1,0.0136434,0.499996,1,74.8832,-0.989286,-0.667055
156,0.000149731,1,0.01,0.499952,0,76.5076,-1.11406,-0.667055
157,0.000135027,1,0.011928,0.499996,0,74.9828,-1.59206,-0.667055
158,0.0001,1,0.01,0.5,0,100,-1.19275,-0.667055
159,0.0001,1,0.01,0.5,0,100,-1.13465,-0.667055
160,0.0001,99,100,0.0001,1,100,-2.96506,-0.667055
161,0.000142183,99,86.9623,0.000138819,1,99.998,-2.01502,-0.667055
162,0.000200379,99,79.2447,0.000211736,1,0.03266,-4.30637,-0.667055
163,0.000155351,99,77.9298,0.000162005,1,100,-3.14381,-0.667055
164,0.000407269,99,60.3844,0.000434455,1,71.467,-1.65404,-0.667055
165,0.000201272,99,47.9891,0.000209543,1,58.8788,-1.84729,-0.667055
166,0.0001,1,0.01,0.5,0,100,-1.63923,-0.667055
167,0.000146751,1,0.0121743,0.499994,1,100,-1.19806,-0.667055
168,0.000143395,1,0.01,0.499994,1,100,-1.85646,-0.667055
169,0.000153904,1,6.62387,0.49996,1,79.3992,-1.5886,-0.667055
170,0.499985,99,58.391,0.499974,1,46.2345,-2.69682,-0.667055
171,0.000157776,1,0.011666,0.5,1,81.8267,-1.08773,-0.667055
172,0.000172146,1,6.87422,0.499985,1,81.4226,-1.7345,-0.667055
173,0.000154365,1,0.0101184,0.499965,0,73.6021,-1.44837,-0.667055
174,0.000148417,1,0.01,0.499977,0,73.7053,-1.15801,-0.667055
175,0.000206126,1,0.01,0.5,0,73.7901,-1.34467,-0.667055
176,0.000160067,1,0.0155739,0.499997,0,76.954,-1.31505,-0.667055
177,0.00015146,1,0.01,0.499988,0,76.8875,-0.801061,-0.667055
178,0.00013172,1,0.01,0.5,0,76.8824,-0.720431,-0.667055
179,0.000146722,1,0.01,0.5,0,76.8713,-1.37083,-0.667055
180,0.000392242,1,61.0457,0.499935,0,45.1224,-3.61351,-0.667055
181,0.000131842,1,0.01,0.499998,0,60.7117,-1.50133,-0.667055
182,0.000144289,1,0.0124731,0.499999,0,83.405,-2.05741,-0.667055
183,0.000143846,1,0.0100001,0.499996,1,45.78,-1.0852,-0.667055
184,0.000143683,1,0.01,0.5,1,46.0998,-1.82043,-0.667055
185,0.000192513,1,5.47514,0.499972,0,80.8359,-3.05781,-0.667055
186,0.000151625,1,0.0151149,0.21622,1,57.248,-2.40973,-0.667055
187,0.0001,1,0.01,0.5,1,100,-2.40472,-0.667055
188,0.00015331,1,35.443,0.499967,1,99.998,-2.58521,-0.667055
189,0.000191032,1,100,0.000187544,1,56.5555,-1.50616,-0.667055
190,0.000143872,1,99.9975,0.000146553,1,80.2812,-0.907087,-0.667055
191,0.000173244,1,100,0.000165607,1,80.2521,-1.94436,-0.667055
192,0.0001,1,100,0.0001,1,52.0428,-1.90914,-0.667055
193,0.000192732,1,93.0411,0.000190083,1,78.2394,-1.70765,-0.667055
194,0.000192251,1,91.9739,0.000178903,1,62.4906,-1.08108,-0.667055
195,0.000146881,1,93.2495,0.000154159,1,79.6531,-3.13129,-0.667055
196,0.00017459,1,69.0105,0.000185957,1,60.3832,-0.882876,-0.667055
197,0.5,1,0.01,0.5,0,59.4941,-3.5968,-0.667055
198,0.000200609,1,9.69217,0.499976,1,76.561,-1.36076,-0.667055
199,0.000175237,1,69.0159,0.000186793,1,60.3864,-1.18456,-0.667055

Best eval with params:
eval (mc_estimate_expected_utility) = -0.667055
smbts_search_temp_decay_visits_scale = 29.4751
smbts_epsilon = 0.000150676
smbts_search_temp = 0.0209903
smbts_use_search_temp_decay = 1
sm_split_visit_thresh = 65
sm_l_inf_thresh = 0.499996
