env_id,alg_id,search_runtime,max_trial_length,rollouts_per_mc_eval,num_repeats,num_threads
deep-sea-treasure-vamplew-stoch,smdents,20,50,1024,5,16

hp_opt_iter,sm_l_inf_thresh,sm_split_visit_thresh,smbts_search_temp,smbts_epsilon,smbts_use_search_temp_decay,smbts_search_temp_decay_visits_scale,smdents_entropy_temp_init,smdents_entropy_temp_visits_scale,eval(mc_estimate_expected_utility),best_eval_so_far
59,0.000127812,99,0.0207058,0.13751,0,100,0.00875045,0.0212669,-1.22884,-0.558463
60,0.10173,97,6.58665,0.114767,1,69.1717,0.0110256,0.0199654,-0.77123,-0.558463
61,0.10729,59,2.21196,0.115908,1,69.9738,0.0110562,0.019773,-1.6368,-0.558463
62,0.168965,99,0.0203285,0.128935,1,37.9614,0.0109807,0.0200782,-1.06115,-0.558463
63,0.106648,99,0.0211041,0.107965,0,62.5298,0.0113132,0.019006,-1.59788,-0.558463
64,0.221321,99,0.019636,0.141165,1,27.5176,0.0102279,0.019961,-1.23173,-0.558463
65,0.0694853,99,39.285,0.113882,1,100,0.0154815,0.0190953,-1.04622,-0.558463
66,0.0939948,99,40.8607,0.129089,1,71.954,0.0124261,0.0217721,-1.0887,-0.558463
67,0.177923,99,51.4312,0.121413,1,27.5673,0.0115172,0.0211455,-2.31544,-0.558463
68,0.107131,9,0.0190739,0.124179,1,99.9999,0.0091092,4.97406,-1.59223,-0.558463
69,0.182519,99,0.0197509,0.131313,1,73.1162,0.0111686,60.0416,-0.59947,-0.558463
70,0.213298,99,0.0207323,0.14237,1,76.1862,0.0102739,59.1594,-1.68073,-0.558463
71,0.148901,99,0.0212505,0.109374,1,99.9991,0.00940781,99.9983,-1.19005,-0.558463
72,0.164695,1,0.0204039,0.121469,1,99.9987,0.00990944,99.9979,-1.08337,-0.558463
73,0.120839,1,33.9273,0.128411,1,99.9982,0.00918077,4.45226,-2.23325,-0.558463
74,0.166207,99,0.0200037,0.107725,1,62.8581,0.00997837,91.3579,-1.44624,-0.558463
75,0.328459,99,0.0216746,0.139476,1,99.998,0.0129512,99.9973,-0.710447,-0.558463
76,0.314334,99,0.020153,0.135955,1,99.9976,75.0391,99.9976,-1.17417,-0.558463
77,0.215844,99,0.0203854,0.132772,0,99.9981,0.0138717,99.9981,-0.938874,-0.558463
