env_id,alg_id,search_runtime,max_trial_length,rollouts_per_mc_eval,num_repeats,num_threads
minecart-v0,smbts,20,50,1024,5,16

hp_opt_iter,sm_l_inf_thresh,sm_split_visit_thresh,smbts_search_temp,smbts_epsilon,smbts_use_search_temp_decay,smbts_search_temp_decay_visits_scale,eval(mc_estimate_expected_utility),best_eval_so_far
79,0.00088863,99,0.01,0.000175285,1,0.076218,-0.972953,-0.57077
80,0.341213,13,85.0326,0.147025,0,69.3273,-1.04472,-0.57077
81,0.138676,5,64.4101,0.313216,0,92.8776,-1.03345,-0.57077
82,0.399155,99,100,0.316919,1,59.0375,-1.02419,-0.57077
83,0.5,99,0.01,0.0001,1,2.83841,-0.749285,-0.57077
84,0.5,62,0.01,0.0001,1,0.01,-0.524999,-0.524999
85,0.0001,62,0.01,0.0001,1,0.01,-0.716827,-0.524999
86,0.5,65,0.01,0.0001,1,0.01,-0.481175,-0.481175
87,0.5,99,0.01,0.0001,1,0.01,-0.636584,-0.481175
88,0.499788,46,0.0398187,0.000343281,1,0.0959162,-0.632455,-0.481175
89,0.499658,59,0.0237917,0.0001,1,0.0757382,-0.522302,-0.481175
90,0.5,64,0.01,0.0001,0,0.01,-0.479494,-0.479494
91,0.499951,62,0.01,0.000108766,0,0.0492687,-0.590105,-0.479494
92,0.499913,63,0.01,0.000193086,0,0.0734684,-0.414288,-0.414288
93,0.499498,62,0.0111754,0.0001,0,0.105666,-0.597253,-0.414288
94,0.111347,36,32.2303,0.304289,1,99.6123,-1.00818,-0.414288
95,0.0177642,99,80.0781,0.368775,1,3.12077,-1.0324,-0.414288
96,0.499984,55,0.0363509,0.0001,0,0.0374784,-0.476074,-0.414288
97,0.499472,51,0.01,0.000229026,0,0.0959783,-0.623657,-0.414288
98,0.0729749,80,46.4518,0.470401,0,96.0459,-1.03349,-0.414288
99,0.499734,51,0.01,0.000465792,0,0.113792,-0.907125,-0.414288
100,0.0865087,43,54.363,0.251034,1,99.9512,-1.03499,-0.414288
101,0.49961,87,0.0614333,0.000451536,0,0.033061,-0.963259,-0.414288
102,0.499473,29,0.0267718,0.00052184,0,0.101918,-0.893899,-0.414288
103,0.5,99,100,0.20454,0,0.01,-1.02715,-0.414288
104,0.375735,55,99.9723,0.140805,0,99.7892,-1.03523,-0.414288
105,0.400292,59,100,0.290293,1,100,-1.0426,-0.414288
106,0.279854,64,8.94994,0.0001,0,0.01,-0.974335,-0.414288
107,0.499487,64,0.0174859,0.0001,0,0.0760755,-0.692877,-0.414288
108,0.418441,96,53.813,0.395271,1,0.255603,-1.03583,-0.414288
109,0.0292619,75,0.01,0.049967,1,2.28941,-0.960435,-0.414288
110,0.5,99,0.01,0.0778805,0,0.01,-0.585382,-0.414288
111,0.5,73,0.0201754,0.0505086,1,4.22624,-0.813354,-0.414288
112,0.5,99,52.6372,0.0001,0,0.01,-1.04319,-0.414288
113,0.264809,31,24.5829,0.12739,0,0.0572303,-1.00797,-0.414288
