env_id,alg_id,search_runtime,max_trial_length,rollouts_per_mc_eval,num_repeats,num_threads
deep-sea-treasure-improved-stoch,czt,20,50,1024,5,16

hp_opt_iter,czt_bias,czt_ball_split_visit_thresh,eval(mc_estimate_expected_utility),best_eval_so_far
MIN,0.01,1,MIN
157,0.0162263,1,-19.7354,-19.6406
158,0.0203979,1,-20.7449,-19.6406
159,0.0124467,1,-20.0959,-19.6406
160,0.02733,1,-21.8694,-19.6406
161,100,99,-20.7969,-19.6406
162,0.0127735,1,-20.9011,-19.6406
163,100,99,-20.7875,-19.6406
164,100,1,-21.105,-19.6406
165,0.01,99,-20.4204,-19.6406
166,0.01,99,-20.2472,-19.6406
167,0.01,99,-20.7152,-19.6406
168,0.0135575,1,-20.9344,-19.6406
169,100,99,-20.4972,-19.6406
170,100,99,-20.5432,-19.6406
171,100,99,-21.2652,-19.6406
172,0.01,99,-20.868,-19.6406
173,0.01,99,-20.3346,-19.6406
174,0.01,99,-20.5011,-19.6406
175,0.01,99,-20.8294,-19.6406
176,100,1,-20.4837,-19.6406
177,100,1,-20.3304,-19.6406
178,100,1,-21.1234,-19.6406
179,0.0258171,1,-20.3221,-19.6406
180,0.01,99,-20.4747,-19.6406
181,0.0147125,1,-21.2435,-19.6406
182,100,99,-20.649,-19.6406
183,7.1557,15,-20.4603,-19.6406
184,100,99,-21.1693,-19.6406
185,0.01,99,-21.0211,-19.6406
186,100,1,-21.4841,-19.6406
187,0.01,99,-21.9043,-19.6406
188,0.0138627,1,-20.3842,-19.6406
189,0.01,1,-20.6657,-19.6406
190,0.0292071,1,-21.4435,-19.6406
191,100,99,-21.3898,-19.6406
192,100,1,-21.0817,-19.6406
193,0.01,99,-20.0435,-19.6406
194,0.01,99,-21.1694,-19.6406
