env_id,alg_id,search_runtime,max_trial_length,rollouts_per_mc_eval,num_repeats,num_threads
fruit-tree-depth-7,smdents,20,50,1024,5,16

hp_opt_iter,sm_l_inf_thresh,sm_split_visit_thresh,smbts_search_temp,smbts_epsilon,smbts_use_search_temp_decay,smbts_search_temp_decay_visits_scale,smdents_entropy_temp_init,smdents_entropy_temp_visits_scale,eval(mc_estimate_expected_utility),best_eval_so_far
64,0.399815,1,90.4146,0.0272794,0,0.0181284,100,35.8287,4.86828,4.91132
65,0.5,34,94.1743,0.000144354,0,0.0195366,0.010762,0.0195953,4.87771,4.91132
66,0.000149175,1,94.979,0.000149776,0,0.01984,0.0106154,0.0199252,4.88343,4.91132
67,0.000137926,1,86.0688,0.111548,0,0.019417,0.01073,0.0199968,4.88451,4.91132
68,0.000149074,1,86.5317,0.000148459,0,99.9966,99.9991,0.0200944,4.89257,4.91132
69,0.000123516,1,90.3162,0.0547613,0,0.0185493,89.1186,99.9983,4.8822,4.91132
70,0.000148321,1,83.8152,0.000147932,0,99.9996,99.9985,99.998,4.89001,4.91132
71,0.000148828,1,85.2752,0.000148962,1,0.0183941,99.9991,0.0198915,4.87919,4.91132
72,0.499989,1,89.6744,0.499993,0,99.9976,0.0109263,99.9975,4.88879,4.91132
73,0.499999,1,86.7673,0.499983,1,83.739,0.0121206,83.3562,4.86363,4.91132
74,0.499987,16,93.4858,0.5,0,0.0229923,0.001,99.9988,4.88926,4.91132
75,0.499995,27,87.8739,0.000154083,0,0.0181631,81.7553,99.9959,4.89498,4.91132
76,0.22643,75,86.5602,0.136067,0,50.9167,7.87807,40.2971,4.84367,4.91132
77,0.000158743,22,88.7814,0.499975,0,0.0169766,99.9953,99.9997,4.88088,4.91132
78,0.499997,1,93.1977,0.000179603,0,0.0186776,0.001,99.9998,4.89384,4.91132
79,0.499997,24,94.0359,0.000152368,0,0.0194407,99.9991,99.9979,4.88924,4.91132
80,0.499999,1,85.3342,0.000134685,0,0.0183968,99.9994,99.9988,4.87472,4.91132
81,0.0001,1,91.7208,0.499979,0,99.9998,0.00891198,0.0163737,4.9086,4.91132
82,0.5,1,93.5884,0.499988,0,99.9938,0.012446,0.0203606,4.87782,4.91132
83,0.000119671,14,88.943,0.499994,0,99.9951,0.0136798,0.01,4.87005,4.91132
84,0.000148154,1,92.2881,0.000148916,0,99.9976,0.00976832,99.9982,4.88509,4.91132
85,0.000158181,16,94.1161,0.5,0,0.01,0.00740305,99.9935,4.89023,4.91132
86,0.5,1,95.504,0.5,0,99.9987,0.00927343,99.9974,4.89953,4.91132
87,0.000165022,1,88.7245,0.000140421,0,99.999,0.011211,99.9987,4.88325,4.91132
88,0.5,1,93.8087,0.000146024,0,100,0.0117416,0.0139919,4.89862,4.91132
89,0.000147518,1,94.2819,0.000151003,0,99.9993,0.00933586,0.0191033,4.88609,4.91132
90,0.365529,18,88.9784,0.00013066,0,99.9996,0.00977792,0.0191006,4.87766,4.91132
91,0.5,1,94.1059,0.499989,0,99.9986,99.9989,100,4.89367,4.91132
92,0.5,1,92.6342,0.499987,0,99.9996,99.9998,0.0189346,4.89361,4.91132
93,0.5,15,93.798,0.499993,0,0.01,99.9982,0.0203593,4.87347,4.91132
94,0.5,1,93.3412,0.000145793,1,0.0223228,0.00907835,99.9992,4.89843,4.91132
95,0.000147852,1,92.3197,0.5,1,0.016118,0.00967636,99.9972,4.88863,4.91132
96,0.5,15,94.7061,0.000135632,1,0.0201143,0.0103927,99.9976,4.89097,4.91132
97,0.000139348,1,92.049,0.000149692,1,0.0193457,0.0123392,0.01,4.88315,4.91132
98,0.0187497,10,44.6472,0.316403,0,69.7899,26.9814,7.50456,4.89821,4.91132
99,0.000134219,1,92.0391,0.000144903,1,0.0211656,0.01187,0.01,4.89406,4.91132
100,0.000148611,18,90.1507,0.000138034,1,0.0188243,0.00958799,99.9979,4.86947,4.91132
101,0.000118231,1,93.2034,0.499957,0,99.9917,100,100,4.87707,4.91132
102,0.000147816,1,82.0942,0.499988,0,99.9992,99.9985,0.0190452,4.88435,4.91132
103,0.000149548,1,81.2972,0.000153208,1,99.9966,0.00946028,0.0193711,4.82226,4.91132
104,0.5,1,93.301,0.499982,0,0.0236838,0.001,99.9896,4.89382,4.91132
105,0.499987,20,99.9961,0.499988,0,0.0211241,0.001,99.9972,4.90219,4.91132
106,0.499991,16,96.2387,0.499999,0,0.0168122,0.001,99.9973,4.91134,4.91134
107,0.499986,16,96.2421,0.499997,0,0.0155394,0.001,99.9998,4.88987,4.91134
108,0.499998,21,100,0.5,0,0.0162122,100,99.9961,4.90126,4.91134
109,0.499978,17,96.9257,0.499971,0,0.0163077,0.001,99.997,4.88015,4.91134
110,0.5,21,100,0.499993,0,0.0181661,99.9984,99.9989,4.89868,4.91134
111,0.499371,20,100,0.499218,0,0.127262,0.00382181,99.9154,4.86614,4.91134
112,0.499993,18,95.0417,0.499992,0,0.0187609,99.9992,99.9982,4.87853,4.91134
113,0.499991,4,89.2757,0.49999,0,0.0194968,100,87.3967,4.89316,4.91134
114,0.49999,24,85.71,0.499991,0,0.0190393,99.9984,86.8209,4.87698,4.91134
115,0.00407807,25,99.9998,0.000153014,0,0.0215917,99.9927,0.0190123,4.8776,4.91134
116,0.499482,4,90.7832,0.499393,0,0.0233708,0.0146309,99.9771,4.89025,4.91134
117,0.000151288,11,92.0123,0.000147625,0,0.0180372,99.9996,0.0187234,4.86686,4.91134
118,0.000147364,29,84.854,0.000144426,0,0.0191564,99.9984,0.0194082,4.8705,4.91134
