env_id,alg_id,search_runtime,max_trial_length,rollouts_per_mc_eval,num_repeats,num_threads
deep-sea-treasure-v0,smdents,20,50,1024,5,16

hp_opt_iter,sm_l_inf_thresh,sm_split_visit_thresh,smbts_search_temp,smbts_epsilon,smbts_use_search_temp_decay,smbts_search_temp_decay_visits_scale,smdents_entropy_temp_init,smdents_entropy_temp_visits_scale,eval(mc_estimate_expected_utility),best_eval_so_far
63,0.000146915,1,99.9981,0.288902,1,99.9995,99.9976,0.0199581,6.62842,6.83144
64,0.000146999,1,99.998,0.231526,1,99.9995,99.9975,0.0197665,6.49724,6.83144
65,0.000154016,1,99.9977,0.270855,1,0.0183716,0.0101927,0.0193733,6.25206,6.83144
66,0.0531835,1,0.0195316,0.21184,1,99.9989,99.9981,0.0197301,6.44373,6.83144
67,0.499991,1,99.9983,0.176008,1,99.9992,99.9984,0.0195538,6.49943,6.83144
68,0.499989,42,99.9988,0.191066,1,99.9983,99.9959,0.0203319,5.90836,6.83144
69,0.000147407,1,0.01,0.31108,1,99.9975,99.9975,99.9998,6.41394,6.83144
70,0.000144607,1,99.9998,0.21435,1,99.9974,99.9995,99.9967,6.51465,6.83144
71,0.12654,20,99.9968,0.196726,1,50.4941,49.2089,13.0101,6.58307,6.83144
72,0.259825,33,99.9912,0.196916,1,52.5573,53.2282,14.213,6.34821,6.83144
73,0.0797632,8,96.2846,0.334455,1,76.0699,56.2609,13.0785,6.68262,6.83144
74,0.0514391,1,88.9456,0.485633,1,99.0145,50.2063,13.332,6.61522,6.83144
75,0.125242,10,98.5974,0.487002,1,85.5175,53.1347,12.0354,6.49422,6.83144
76,0.209176,8,99.9976,0.488052,1,93.6854,45.4723,13.9323,6.49483,6.83144
77,0.255955,1,99.9972,0.489757,1,96.2604,56.0123,14.0891,6.59558,6.83144
78,0.443226,69,60.1092,0.241716,0,45.0659,98.0728,28.4307,5.76961,6.83144
79,0.227424,1,99.9982,0.489167,1,96.4365,55.983,14.0875,6.86223,6.86223
80,0.5,1,99.9998,0.48772,1,95.83,55.2078,14.34,6.07364,6.86223
81,0.000152993,1,78.4922,0.310033,1,60.7096,59.5842,12.9288,6.66267,6.86223
82,0.000148158,1,0.019651,0.321945,0,10.7067,53.1514,13.2242,6.5437,6.86223
83,0.000147243,1,6.44911,0.317397,0,9.51054,59.1645,11.7099,5.81545,6.86223
84,0.000153504,1,25.5242,0.280966,0,100,50.0648,14.5553,5.84221,6.86223
85,0.000149199,37,99.9989,0.499989,1,19.0745,59.1254,13.2455,6.52469,6.86223
86,0.000145455,45,99.9987,0.499993,1,19.9695,48.5425,12.3629,6.2501,6.86223
87,0.000148937,9,99.9973,0.499986,1,0.0193003,62.8505,14.2225,6.12855,6.86223
88,0.00014311,47,99.9995,0.499985,1,0.0198438,39.5944,14.5821,5.75536,6.86223
89,0.0479979,6,30.51,0.168839,1,30.127,33.2351,65.383,6.40282,6.86223
90,0.0975851,13,62.7406,0.190461,1,63.247,21.2413,64.116,6.32652,6.86223
91,0.138536,20,55.0278,0.281463,1,54.0716,27.982,61.442,6.49026,6.86223
92,0.203846,20,97.1269,0.291273,1,55.3368,23.8375,67.0843,6.45314,6.86223
93,0.239162,66,76.6273,0.11707,1,42.1754,30.746,63.8573,6.31494,6.86223
94,0.107085,67,95.6942,0.477343,1,22.4705,32.8876,66.7343,6.256,6.86223
95,0.204792,69,86.7071,0.372458,1,56.9619,19.4747,61.9804,5.94167,6.86223
96,0.481111,25,77.2145,0.329363,1,50.5128,31.4103,69.3258,6.34712,6.86223
97,0.464139,74,88.942,0.330145,1,19.9331,17.6491,67.631,5.83892,6.86223
98,0.300703,1,99.9948,0.499997,1,0.0209027,37.4503,63.1727,6.15224,6.86223
99,0.336657,1,99.9974,0.499987,1,0.0196665,26.8051,59.3362,5.83739,6.86223
100,0.358324,95,20.1974,0.393279,0,41.9973,1.47376,61.7974,6.1088,6.86223
101,0.323403,31,99.9985,0.499991,1,0.0211051,41.4276,69.5138,5.82594,6.86223
102,0.34064,1,55.3785,0.000148121,1,60.3743,21.684,62.243,3.83785,6.86223
103,0.000145669,7,99.9991,0.467435,1,46.2791,53.6755,13.4234,6.51003,6.86223
104,0.000142683,1,38.4094,0.000153906,1,22.0839,55.4965,12.6926,3.53361,6.86223
105,0.000145849,46,99.9972,0.49999,1,99.9983,54.0393,15.8337,6.35932,6.86223
106,0.46628,7,99.9993,0.499988,0,99.9976,61.7308,15.3535,5.91047,6.86223
107,0.000161353,1,0.0187089,0.000115836,1,38.7322,38.1798,62.8015,1.80253,6.86223
108,0.47988,99,99.9983,0.499989,1,99.9974,53.4053,13.8821,6.05078,6.86223
109,0.191422,1,0.01,0.0001,1,99.9965,0.0169921,2.54353,1.5712,6.86223
110,0.290969,1,99.9981,0.499986,1,99.9974,49.5913,16.3393,6.48517,6.86223
111,0.276185,1,99.9202,0.48891,1,96.4737,82.2843,0.01,6.47975,6.86223
112,0.499984,1,99.999,0.49999,1,22.1524,47.0629,15.3517,6.44505,6.86223
113,0.499991,1,69.5806,0.296788,1,0.018573,99.9984,0.0190682,6.10003,6.86223
114,0.000148923,1,64.6165,0.216863,1,0.0197899,99.9994,99.9974,5.91568,6.86223
115,0.00014823,1,99.9966,0.210288,0,0.0201737,0.0114328,0.0205429,6.05808,6.86223
116,0.000133211,1,35.8144,0.341754,1,99.9976,0.0114499,0.0190288,6.38544,6.86223
