Hpopt Xpr level params:

xpr_name,env_id,mcts_mode,graph_search,max_trial_length,runtime_bounded,term_bound,search_threads,eval_delta,eval_rollouts,eval_threads,min_repeats,conf_thresh,bayesopt_total_samples,bayesopt_init_rand_samples,bayesopt_relearn_freq
310_hpopt_frozen_lake_det_sparse,frozen_lake_(map=8x8,sparse),0,0,100,0,10000,16,10000,1,1,10,0.015,200,10,20

rents params mins/maxs: 

temp - (min,max,log_scale) = (0.0001,10000,1)
epsilon - (min,max,log_scale) = (1e-06,1,1)
default_q_value - (min,max,log_scale) = (-100,0,0)

Evaluations:

hp_opt_iter,mean_eval,std_mean_eval,best_eval_so_far,temp,epsilon,default_q_value
89,0.798368,0.016383,0.841402,0.00096373,0.999607,-72.1615
90,0.807254,0.0116565,0.841402,0.000434241,0.983943,-40.1681
91,0.81729,0.0134831,0.841402,0.000168704,0.999368,-41.0012
92,0.807394,0.0125947,0.841402,0.000173671,1,0
93,0.80292,0.00930041,0.841402,0.000680672,0.996927,-11.8375
94,0.805013,0.0128221,0.841402,0.000313278,0.994213,-30.2143
95,0.793486,0.010863,0.841402,0.013085,0.989058,-20.6359
96,0.281826,0.116256,0.841402,0.0915244,0.987126,0
97,0.803103,0.0108747,0.841402,0.000146277,0.995741,-32.5768
98,0.766833,0.0154153,0.841402,0.0194287,0.976108,-38.4553
99,0.809319,0.00854853,0.841402,0.00601575,0.992936,-66.5355
100,0.784265,0.00536176,0.841402,0.0176293,1,0
101,0.813933,0.0129131,0.841402,0.00603921,0.999749,-34.5221
102,0.806952,0.00917065,0.841402,0.00307253,0.990633,-44.907
103,0.80648,0.012104,0.841402,0.00764909,0.983425,0
104,0.802129,0.0150192,0.841402,0.0116923,0.997372,0
105,0.809726,0.0119444,0.841402,0.00970151,0.988351,0
106,0,0,0.841402,99.9776,7.4768e-06,-4.16558
107,0,0,0.841402,0.404226,8.50552e-06,-1.52515
108,0.0429889,0.0429889,0.841402,0.00193355,1.00141e-06,-0.0022149
109,0.80558,0.0112749,0.841402,0.00610008,0.998084,-21.8708
110,0.79159,0.00795803,0.841402,0.041468,0.997891,-99.9686
111,0.807607,0.00752174,0.841402,0.00456951,0.980161,-100
112,0.8,0.0118965,0.841402,0.00163437,0.985966,-100
113,0.760348,0.0071239,0.841402,0.000146498,0.992191,-83.2653
114,0.785261,0.00814626,0.841402,0.000882911,0.387104,-53.3382
115,0.783075,0.0150507,0.841402,0.00645042,0.246953,-97.8245
116,0.741381,0.0164852,0.841402,0.00407901,0.194121,-63.4882
117,0.803032,0.0103102,0.841402,0.00668394,1,-77.817
118,0.774203,0.0135267,0.841402,0.0238801,0.999966,-100
119,0.812803,0.0158105,0.841402,0.000784657,1,0
120,0.782824,0.0176504,0.841402,0.000571068,0.995495,-34.7666
121,0.806967,0.0149966,0.841402,0.00219322,1,-73.9505
122,0.80279,0.0182265,0.841402,0.000229725,1,-20.9559
123,0.791133,0.0192744,0.841402,0.00185519,0.999795,-28.136
124,0.824037,0.00802026,0.841402,0.00781176,0.997426,-35.8109
125,0.794234,0.0104947,0.841402,0.00724423,0.986487,-38.192
126,0.780327,0.0171898,0.841402,0.0001709,0.306026,-53.1048
127,0.827129,0.0130556,0.841402,0.000500872,1,-70.4833
128,0.799079,0.0108885,0.841402,0.000813329,0.994585,-78.2609
129,0.815692,0.0138306,0.841402,0.000436724,1,-67.8134
130,0.786561,0.0124524,0.841402,0.000245767,1,-50.0038
131,0.781502,0.00964883,0.841402,0.00878537,1,-76.5745
132,0.795437,0.0133771,0.841402,0.00402698,1,-36.7319
133,0.811135,0.0102047,0.841402,0.00509296,1,-100
134,0.817711,0.0105735,0.841402,0.0046063,1,-67.7868
135,0.821515,0.00748877,0.841402,0.00277409,1,-78.1273
136,0.826669,0.00957631,0.841402,0.00180322,1,-72.9657
137,0.819443,0.0112401,0.841402,0.00281649,1,-80.0637
138,0.807378,0.0126084,0.841402,0.00165443,1,-70.9876
139,0.797177,0.0141759,0.841402,0.000562704,0.999272,-67.3076
140,0.800397,0.00814736,0.841402,0.0001,1,0
141,0.78349,0.0198474,0.841402,0.00152907,0.996974,0
142,0.777445,0.0142593,0.841402,0.000725545,0.998866,0
143,0.787373,0.0125217,0.841402,0.00182265,0.486275,-64.1826
144,0.812648,0.00924456,0.841402,0.00291675,0.998414,-100
145,0.809321,0.0146617,0.841402,0.00191484,1,-100
146,0,0,0.841402,0.0001,1e-06,-100
147,0.820905,0.00976134,0.841402,0.00399108,0.9986,-100
148,0.785352,0.0144402,0.841402,0.0001,0.423755,-100
149,0.796188,0.0175476,0.841402,0.00396797,1,-82.0622
150,0.812722,0.0099511,0.841402,0.00116672,0.998896,-63.5541
151,0.826883,0.0112616,0.841402,0.00298194,1,-63.2898
152,0.805998,0.00771447,0.841402,0.0028639,1,-46.4996
153,0.785262,0.00799887,0.841402,0.0420577,1,-71.5616
154,0.794235,0.0103999,0.841402,0.0290884,1,-39.339
155,0.806184,0.00961377,0.841402,0.0001,1,-100
156,0.788047,0.0117728,0.841402,0.000719934,0.383195,-100
157,0.796062,0.0167584,0.841402,0.00141449,0.999448,-33.2701
158,0.740652,0.0166762,0.841402,0.0522845,0.0759364,-100
159,0.79195,0.0163531,0.841402,0.000187948,1,-25.3697
160,0.759633,0.0134051,0.841402,0.0189915,1,-63.748
161,0.794312,0.0160986,0.841402,0.00259093,0.987721,-100
162,0.805779,0.0127019,0.841402,0.000948253,0.975719,-100
163,0.808498,0.00838182,0.841402,0.00565694,1,-64.7912
164,0.81781,0.0113995,0.841402,0.0020397,1,-58.983
165,0.789197,0.0140785,0.841402,0.000913393,1,-50.0321
166,0.706282,0.0280932,0.841402,0.000336699,0.080034,-60.35
167,0.776254,0.0162307,0.841402,0.000675694,0.394313,-65.2207
168,0.79435,0.0113683,0.841402,0.00371916,0.984535,-32.6608
169,0.816477,0.00619419,0.841402,0.000772378,1,-100
170,0.814496,0.0109744,0.841402,0.000435121,1,-38.2758
