Hpopt Xpr level params:

xpr_name,env_id,mcts_mode,graph_search,max_trial_length,runtime_bounded,term_bound,search_threads,eval_delta,eval_rollouts,eval_threads,min_repeats,conf_thresh,bayesopt_total_samples,bayesopt_init_rand_samples,bayesopt_relearn_freq
310_hpopt_frozen_lake_det_sparse,frozen_lake_(map=8x8,sparse),0,0,100,0,10000,16,10000,1,1,10,0.015,200,10,20

tents params mins/maxs: 

temp - (min,max,log_scale) = (0.0001,10000,1)
epsilon - (min,max,log_scale) = (1e-06,1,1)
default_q_value - (min,max,log_scale) = (-100,0,0)

Evaluations:

hp_opt_iter,mean_eval,std_mean_eval,best_eval_so_far,temp,epsilon,default_q_value
86,0,0,0.832177,160.907,0.999676,-0.00189988
87,0.800466,0.0187275,0.832177,0.0435252,0.999674,-0.00190439
88,0.779465,0.0200091,0.832177,0.000232615,0.999762,-51.5196
89,0.811383,0.0120992,0.832177,0.000145823,0.999408,-0.00573861
90,0.797879,0.00683725,0.832177,0.152051,0.999656,-0.00190861
91,0.789299,0.0145055,0.832177,0.0163485,0.999776,-0.00189384
92,0.800789,0.0165145,0.832177,0.00455696,0.402455,-13.39
93,0.813277,0.00717758,0.832177,0.00127183,0.999786,-0.00178374
94,0.805273,0.00870079,0.832177,0.00199071,0.99978,-0.00136491
95,0.770542,0.0146136,0.832177,0.00260786,0.29564,-0.00222117
96,0.819607,0.0122547,0.832177,0.0445623,0.999729,-60.4158
97,0.78948,0.0105318,0.832177,0.283566,0.110195,-62.1002
98,0.74147,0.0170521,0.832177,0.00872378,0.184514,-63.7349
99,0.793838,0.0207583,0.832177,0.00454157,0.992211,-27.7171
