Hpopt Xpr level params:

xpr_name,env_id,mcts_mode,graph_search,max_trial_length,runtime_bounded,term_bound,search_threads,eval_delta,eval_rollouts,eval_threads,min_repeats,conf_thresh,bayesopt_total_samples,bayesopt_init_rand_samples,bayesopt_relearn_freq
300_hpopt_frozen_lake_det_dense,frozen_lake_(map=8x8,dense),0,0,100,0,10000,16,10000,1,1,10,1,200,10,20

uct params mins/maxs: 

bias - (min,max,log_scale) = (0.0001,10000,1)

Evaluations:

hp_opt_iter,mean_eval,std_mean_eval,best_eval_so_far,bias
119,-64.0805,0.999804,-61.8857,0.0124634
120,-63.737,0.999893,-61.8857,0.0124502
121,-63.8197,0.99985,-61.8857,0.0124375
122,-65.2502,0.999841,-61.8857,0.0124233
123,-69.2059,0.999947,-61.8857,0.00945076
124,-62.4325,0.999957,-61.8857,0.0129478
125,-62.9516,0.999832,-61.8857,0.0129418
126,-62.4387,0.999811,-61.8857,0.0129347
127,-64.0307,0.999752,-61.8857,0.0129287
128,-63.2549,0.999958,-61.8857,0.0129165
129,-61.9187,0.999738,-61.8857,0.0129067
130,-62.4634,0.999939,-61.8857,0.0129292
131,-61.3763,0.999568,-61.3763,0.0129229
132,-59.6108,0.999782,-59.6108,0.0140272
133,-60.723,0.99995,-59.6108,0.0164409
134,-61.1687,0.999927,-59.6108,0.0164392
135,-59.8295,0.999969,-59.6108,0.0164363
136,-59.817,0.99982,-59.6108,0.0164358
137,-61.1058,0.999687,-59.6108,0.0164351
138,-61.3743,0.999727,-59.6108,0.0164318
139,-61.0567,0.999553,-59.6108,0.0164279
140,-61.042,0.999864,-59.6108,0.0164245
141,-62.8872,0.999918,-59.6108,0.016421
142,-61.9957,0.999931,-59.6108,0.0164144
143,-61.5969,0.999787,-59.6108,0.0164093
144,-60.7541,0.999814,-59.6108,0.0164048
145,-61.183,0.999762,-59.6108,0.0164017
146,-59.1598,0.999819,-59.1598,0.0163978
147,-59.7019,0.999934,-59.1598,0.0169858
148,-64.3841,0.999932,-59.1598,0.0169839
149,-59.1518,0.999957,-59.1518,0.0169747
150,-62.368,0.99965,-59.1518,0.0165106
151,-60.4422,0.999837,-59.1518,0.0165047
152,-62.3612,0.99982,-59.1518,0.0165015
153,-61.0412,0.999913,-59.1518,0.0164956
154,-62.0189,0.999786,-59.1518,0.0164915
155,-60.9718,0.999625,-59.1518,0.0164861
156,-61.9809,0.999725,-59.1518,0.0164821
157,-60.7585,0.999951,-59.1518,0.0164768
158,-62.4692,0.999648,-59.1518,0.0164731
159,-61.6838,0.999866,-59.1518,0.0164664
160,-62.2937,0.999937,-59.1518,0.0164622
161,-61.1873,0.999899,-59.1518,0.0164559
162,-60.5871,0.999578,-59.1518,0.0164522
163,-61.2039,0.999981,-59.1518,0.0164487
164,-60.1594,0.999721,-59.1518,0.0164438
165,-61.262,0.99983,-59.1518,0.0164419
166,-62.2863,0.999962,-59.1518,0.0164376
167,-60.4049,0.999727,-59.1518,0.0164311
168,-58.1562,0.999855,-58.1562,0.0164278
169,-63.7852,0.99974,-58.1562,0.0181907
170,-62.2597,0.999978,-58.1562,0.0176918
171,-61.8894,0.99981,-58.1562,0.0176844
172,-61.5774,0.999747,-58.1562,0.0176776
173,-61.1779,0.999991,-58.1562,0.0176714
174,-65.7787,0.999992,-58.1562,0.0176652
175,-61.4744,0.999854,-58.1562,0.0176526
176,-64.6746,0.999718,-58.1562,0.0176455
177,-62.6589,0.999843,-58.1562,0.0176332
178,-63.7245,0.999888,-58.1562,0.0176246
179,-62.2918,0.999881,-58.1562,0.0176135
180,-61.9074,0.999729,-58.1562,0.0176025
181,-62.207,0.999879,-58.1562,0.017595
182,-62.8215,0.999948,-58.1562,0.017595
183,-63.3408,0.999911,-58.1562,0.0175695
184,-62.3405,0.99986,-58.1562,0.0175457
185,-62.6543,0.999993,-58.1562,0.0175457
186,-62.3255,0.999863,-58.1562,0.0175094
187,-61.2568,0.999972,-58.1562,0.0174835
188,-62.7562,0.999693,-58.1562,0.0174463
189,-60.6841,0.999473,-58.1562,0.0150412
190,-60.254,0.999844,-58.1562,0.0144884
191,-62.2755,0.999536,-58.1562,0.0145595
192,-61.9029,0.999701,-58.1562,0.0146406
193,-60.596,0.999698,-58.1562,0.0144191
194,-59.6287,0.999692,-58.1562,0.0152747
195,-61.0779,0.999735,-58.1562,0.0154632
