Hpopt Xpr level params:

xpr_name,env_id,mcts_mode,graph_search,max_trial_length,runtime_bounded,term_bound,search_threads,eval_delta,eval_rollouts,eval_threads,min_repeats,conf_thresh,bayesopt_total_samples,bayesopt_init_rand_samples,bayesopt_relearn_freq
300_hpopt_frozen_lake_det_dense,frozen_lake_(map=8x8,dense),0,0,100,0,10000,16,10000,1,1,10,1,200,10,20

maxuct params mins/maxs: 

bias - (min,max,log_scale) = (0.0001,10000,1)

Evaluations:

hp_opt_iter,mean_eval,std_mean_eval,best_eval_so_far,bias
118,-52.7011,0.998365,-48.4919,0.0312092
119,-52.0349,0.998738,-48.4919,0.00520887
120,-51.9022,0.998565,-48.4919,0.000454239
121,-52.7461,0.997458,-48.4919,0.0050826
122,-52.5038,0.997097,-48.4919,0.0001
123,-52.7744,0.997774,-48.4919,0.000463689
124,-52.2751,0.999831,-48.4919,0.0320644
125,-53.3832,0.999069,-48.4919,0.0318044
126,-52.4962,0.999473,-48.4919,0.00555807
127,-52.9539,0.99866,-48.4919,0.0001
128,-52.3031,0.997344,-48.4919,0.000470649
129,-52.5743,0.998776,-48.4919,0.00567421
130,-52.9854,0.99696,-48.4919,0.0380648
131,-53.9067,0.999963,-48.4919,0.00039364
132,-53.8015,0.999961,-48.4919,0.0376749
133,-53.4363,0.998875,-48.4919,0.00727896
134,-53.4582,0.999564,-48.4919,0.0001
135,-50.9763,0.996747,-48.4919,0.000423805
136,-52.2358,0.999073,-48.4919,0.000424507
137,-51.9236,0.999186,-48.4919,0.0387679
138,-51.883,0.998336,-48.4919,0.0385428
139,-51.8125,0.998152,-48.4919,0.00810944
140,-52.9805,0.997452,-48.4919,0.00809848
141,-53.223,0.997351,-48.4919,0.0001
142,-53.2336,0.999191,-48.4919,0.000437626
143,-52.7004,0.996603,-48.4919,0.0399298
144,-51.5019,0.998056,-48.4919,0.00825235
145,-52.6568,0.998503,-48.4919,0.0398912
146,-51.6642,0.999205,-48.4919,0.00822408
147,-53.7509,0.999266,-48.4919,0.0001
148,-53.3755,0.999995,-48.4919,0.00049354
149,-52.03,0.999674,-48.4919,0.00841089
150,-53.9241,0.999381,-48.4919,0.0404438
151,-51.8419,0.998589,-48.4919,0.00169233
152,-54.514,0.998732,-48.4919,0.00797398
153,-50.8937,0.998958,-48.4919,0.000422775
154,-51.5936,0.9963,-48.4919,0.0001
155,-53.4943,0.999001,-48.4919,0.000411854
156,-52.1825,0.99743,-48.4919,0.0001
157,-52.6986,0.998387,-48.4919,0.0422537
158,-52.8085,0.999872,-48.4919,0.000410871
159,-54.292,0.999001,-48.4919,0.00858875
160,-52.7992,0.999642,-48.4919,0.0001
161,-52.3481,0.996989,-48.4919,0.00129322
162,-51.4532,0.999109,-48.4919,0.0439293
163,-52.5474,0.996743,-48.4919,0.0437704
164,-52.4475,0.999567,-48.4919,0.00037965
165,-53.0236,0.997339,-48.4919,0.0101453
166,-53.4241,0.998028,-48.4919,0.0001
167,-53.5474,0.997979,-48.4919,0.0449917
168,-52.346,0.99821,-48.4919,0.000408176
169,-53.2174,0.997731,-48.4919,0.00951888
170,-51.0368,0.99883,-48.4919,0.0518651
171,-53.4797,0.996022,-48.4919,0.0517304
172,-53.0959,0.999431,-48.4919,0.00035013
173,-52.8913,0.996827,-48.4919,0.0514247
174,-52.6029,0.999754,-48.4919,0.0123525
175,-51.8651,0.997966,-48.4919,0.0001
176,-52.1661,0.997173,-48.4919,0.000351934
177,-50.5261,0.99818,-48.4919,0.0522984
178,-51.5949,0.997934,-48.4919,0.0522006
179,-50.9246,0.998968,-48.4919,0.0138724
180,-51.4414,0.997217,-48.4919,0.0138638
181,-50.8216,0.996895,-48.4919,0.0525928
182,-50.6417,0.999278,-48.4919,0.0524618
183,-53.0145,0.998615,-48.4919,0.0152905
184,-53.1119,0.99714,-48.4919,0.054395
185,-53.2239,0.998382,-48.4919,0.014537
186,-52.393,0.997225,-48.4919,0.0001
187,-52.9528,0.999295,-48.4919,0.00034701
188,-52.0484,0.999996,-48.4919,0.0559438
189,-53.3985,0.999768,-48.4919,0.0146765
190,-52.496,0.996609,-48.4919,0.0634778
191,-52.3477,0.99997,-48.4919,0.0634068
192,-54.0268,0.998531,-48.4919,0.0631201
193,-53.9774,0.997509,-48.4919,0.000320792
194,-52.3792,0.999551,-48.4919,0.0158738
195,-50.6393,0.9998,-48.4919,0.0001
196,-53.0827,0.998018,-48.4919,0.000315433
197,-52.2519,0.998439,-48.4919,0.0001
198,-51.4947,0.999035,-48.4919,0.0635967
199,-52.4864,0.998663,-48.4919,0.0165411

Best Params: 

mean_eval - -48.4919
std_mean_eval - 0.995882
bias - 0.253259

